,Investments,Change To Liabilities,Total Cashflows From Investing Activities,Net Borrowings,Total Cash From Financing Activities,Change To Operating Activities,Issuance Of Stock,Net Income,Change In Cash,Repurchase Of Stock,Total Cash From Operating Activities,Depreciation,Other Cashflows From Investing Activities,Dividends Paid,Change To Inventory,Change To Account Receivables,Other Cashflows From Financing Activities,Change To Netincome,Capital Expenditures
2020-03-31,-65000000.0,-3951000000.0,-11607000000.0,-17878000000.0,-45330000000.0,5100000000.0,657000000.0,21525000000.0,3077000000.0,-18780000000.0,60016000000.0,13984000000.0,-1172000000.0,-6794000000.0,14382000000.0,6205000000.0,-2535000000.0,-8574000000.0,-12262000000.0
2019-03-31,-142000000.0,-1663000000.0,-7292000000.0,-269000000.0,-16574000000.0,488000000.0,1607000000.0,23807000000.0,1339000000.0,-8018000000.0,25206000000.0,14369000000.0,-483000000.0,-7298000000.0,-10404000000.0,-3458000000.0,-2596000000.0,-8773000000.0,-9247000000.0
2018-03-31,451000000.0,810000000.0,-10901000000.0,-19369000000.0,-24872000000.0,4454000000.0,3057000000.0,22706000000.0,1708000000.0,-2000000.0,37483000000.0,15013000000.0,-772000000.0,-5929000000.0,-4731000000.0,-3688000000.0,-2629000000.0,-6702000000.0,-12599000000.0
2017-03-31,1092000000.0,-202000000.0,-16266000000.0,1978000000.0,-11025000000.0,1991000000.0,2030000000.0,20154000000.0,-601000000.0,-8003000000.0,26689000000.0,15194000000.0,175000000.0,-4558000000.0,-7854000000.0,-1447000000.0,-2472000000.0,-9713000000.0,-20089000000.0
