,Investments,Change To Liabilities,Total Cashflows From Investing Activities,Total Cash From Financing Activities,Change To Operating Activities,Issuance Of Stock,Net Income,Change In Cash,Repurchase Of Stock,Effect Of Exchange Rate,Total Cash From Operating Activities,Depreciation,Other Cashflows From Investing Activities,Dividends Paid,Other Cashflows From Financing Activities,Change To Netincome,Capital Expenditures
2020-03-31,-966647000000.0,0.0,-1787359000000.0,1822603000000.0,1131737000000.0,82000000.0,273435000000.0,966564000000.0,-358000000.0,223000000.0,931098000000.0,36263000000.0,-795134000000.0,-187553000000.0,2010432000000.0,-615533000000.0,-16385000000.0
2019-03-31,2613462000000.0,0.0,2713730000000.0,932847000000.0,-1137661000000.0,54000000.0,266189000000.0,1410372000000.0,-542000000.0,310000000.0,-2236514000000.0,33693000000.0,163428000000.0,-187444000000.0,1120779000000.0,-1502416000000.0,-48148000000.0
2018-03-31,-1435054000000.0,0.0,-1676182000000.0,259318000000.0,-296234000000.0,25000000.0,352775000000.0,-1993607000000.0,-449000000.0,311000000.0,-577053000000.0,37447000000.0,-182482000000.0,-187409000000.0,447151000000.0,-671041000000.0,-34446000000.0
2017-03-31,4868984000000.0,0.0,4876733000000.0,1394983000000.0,-896939000000.0,25000000.0,312264000000.0,5406853000000.0,-418000000.0,347000000.0,-865211000000.0,35306000000.0,41584000000.0,-187297000000.0,1582698000000.0,-315842000000.0,-19227000000.0
