,Change To Liabilities,Total Cashflows From Investing Activities,Net Borrowings,Total Cash From Financing Activities,Change To Operating Activities,Issuance Of Stock,Net Income,Change In Cash,Repurchase Of Stock,Total Cash From Operating Activities,Depreciation,Other Cashflows From Investing Activities,Dividends Paid,Change To Inventory,Change To Account Receivables,Other Cashflows From Financing Activities,Change To Netincome,Capital Expenditures
2021-03-31,-8260000000.0,-84913000000.0,152000000.0,-3300000000.0,1871000000.0,2000000.0,6834000000.0,-30709000000.0,-5000000.0,56639000000.0,54346000000.0,984000000.0,-3144000000.0,5444000000.0,-4937000000.0,-305000000.0,-4356000000.0,-86938000000.0
2020-03-31,12876000000.0,-75141000000.0,-5947000000.0,-6285000000.0,5996000000.0,2000000.0,13433000000.0,20085000000.0,-5000000.0,101475000000.0,51742000000.0,1842000000.0,-36000000.0,4368000000.0,-537000000.0,-297000000.0,4930000000.0,-79933000000.0
2019-03-31,-10994000000.0,-101338000000.0,-9509000000.0,-9912000000.0,-887000000.0,2000000.0,2520000000.0,-57232000000.0,-6000000.0,54018000000.0,71985000000.0,3768000000.0,-41000000.0,-7663000000.0,-3010000000.0,-356000000.0,-2069000000.0,-106934000000.0
2018-03-31,8533000000.0,-91259000000.0,37860000000.0,35401000000.0,16355000000.0,1000000.0,-485000000.0,26420000000.0,-11000000.0,82277000000.0,62773000000.0,3683000000.0,-2133000000.0,-4656000000.0,-4790000000.0,-316000000.0,1391000000.0,-95353000000.0
