,Change To Liabilities,Total Cashflows From Investing Activities,Net Borrowings,Total Cash From Financing Activities,Change To Operating Activities,Issuance Of Stock,Net Income,Change In Cash,Repurchase Of Stock,Total Cash From Operating Activities,Depreciation,Other Cashflows From Investing Activities,Dividends Paid,Change To Inventory,Change To Account Receivables,Other Cashflows From Financing Activities,Change To Netincome,Capital Expenditures,Effect Of Exchange Rate
2020-12-31,-9277000000.0,-52076000000.0,32726000000.0,20912000000.0,-4656000000.0,2000000.0,-4715000000.0,12553000000.0,-8000000.0,43716000000.0,59583000000.0,3164000000.0,-4484000000.0,3909000000.0,1043000000.0,-7324000000.0,5179000000.0,-67565000000.0,
2019-12-31,6259000000.0,-68308000000.0,103755000000.0,73994000000.0,-4988000000.0,3000000.0,-57952000000.0,48315000000.0,-13095000000.0,42629000000.0,56951000000.0,2284000000.0,-9071000000.0,-5339000000.0,-6149000000.0,-7598000000.0,51314000000.0,-78213000000.0,
2018-12-31,2234000000.0,-48628000000.0,22183000000.0,-55835000000.0,2788000000.0,4000000.0,10117000000.0,-53231000000.0,-67998000000.0,51244000000.0,47531000000.0,60000000.0,-9173000000.0,-6869000000.0,-4355000000.0,-851000000.0,-4852000000.0,-49752000000.0,-12000000.0
2017-12-31,0.0,-48628000000.0,22183000000.0,-55835000000.0,2788000000.0,4000000.0,25244000000.0,-53231000000.0,-67998000000.0,51244000000.0,47531000000.0,60000000.0,-9173000000.0,-6869000000.0,-4355000000.0,-851000000.0,-4852000000.0,-49752000000.0,-12000000.0
