,Investments,Change To Liabilities,Total Cashflows From Investing Activities,Net Borrowings,Total Cash From Financing Activities,Change To Operating Activities,Net Income,Change In Cash,Repurchase Of Stock,Effect Of Exchange Rate,Total Cash From Operating Activities,Depreciation,Other Cashflows From Investing Activities,Dividends Paid,Change To Account Receivables,Other Cashflows From Financing Activities,Change To Netincome,Capital Expenditures
2021-03-31,13819000000.0,-288000000.0,-1513000000.0,-3133000000.0,-33932000000.0,1599000000.0,51389000000.0,36324000000.0,-366000000.0,19000000.0,71750000000.0,16783000000.0,106000000.0,-30035000000.0,1750000000.0,-398000000.0,517000000.0,-2880000000.0
2020-03-31,7285000000.0,420000000.0,-9434000000.0,-3133000000.0,-39411000000.0,-182000000.0,47609000000.0,7992000000.0,-350000000.0,-43000000.0,56881000000.0,16499000000.0,24000000.0,-35935000000.0,-5246000000.0,-3126000000.0,-23705000000.0,-1199000000.0
2019-03-31,-16459000000.0,-628000000.0,-30066000000.0,-3133000000.0,-37809000000.0,-651000000.0,49057000000.0,-15107000000.0,-264000000.0,-10000000.0,52778000000.0,12196000000.0,78000000.0,-37544000000.0,439000000.0,-1000000.0,-29364000000.0,-4143000000.0
2018-03-31,-13900000000.0,877000000.0,-26164000000.0,-3133000000.0,-34393000000.0,1504000000.0,50484000000.0,5446000000.0,-7454000000.0,-14000000.0,66018000000.0,10114000000.0,-173000000.0,-26938000000.0,-2067000000.0,-1000000.0,-17400000000.0,-1554000000.0
