,Investments,Change To Liabilities,Total Cashflows From Investing Activities,Net Borrowings,Total Cash From Financing Activities,Change To Operating Activities,Net Income,Change In Cash,Repurchase Of Stock,Total Cash From Operating Activities,Depreciation,Other Cashflows From Investing Activities,Dividends Paid,Change To Inventory,Change To Account Receivables,Other Cashflows From Financing Activities,Change To Netincome,Capital Expenditures
2020-03-31,-1202000000.0,-16771000000.0,-15664000000.0,16308000000.0,9479000000.0,-3982000000.0,16230000000.0,4630000000.0,-2822000000.0,10815000000.0,5832000000.0,-1101000000.0,-2427000000.0,2910000000.0,1696000000.0,-1580000000.0,-3116000000.0,-11887000000.0
2019-03-31,-2882000000.0,4070000000.0,-7649000000.0,19167000000.0,5329000000.0,-2138000000.0,13863000000.0,11710000000.0,-10002000000.0,13428000000.0,6424000000.0,-158000000.0,-2025000000.0,-5394000000.0,-5355000000.0,-1811000000.0,-5092000000.0,-2799000000.0
2018-03-31,-3352000000.0,20946000000.0,-12448000000.0,821000000.0,-3754000000.0,-2380000000.0,14384000000.0,35949000000.0,-626000000.0,51978000000.0,6431000000.0,-251000000.0,-2059000000.0,499000000.0,2466000000.0,-1890000000.0,820000000.0,-8456000000.0
2017-03-31,1975000000.0,-42304000000.0,-6294000000.0,-5988000000.0,-9900000000.0,-3733000000.0,14225000000.0,-132000000.0,-1000000.0,16062000000.0,6645000000.0,-474000000.0,-2058000000.0,1653000000.0,47053000000.0,-1853000000.0,-15123000000.0,-7159000000.0
