,Investments,Change To Liabilities,Total Cashflows From Investing Activities,Net Borrowings,Total Cash From Financing Activities,Change To Operating Activities,Net Income,Change In Cash,Effect Of Exchange Rate,Total Cash From Operating Activities,Depreciation,Other Cashflows From Investing Activities,Dividends Paid,Change To Inventory,Change To Account Receivables,Change To Netincome,Capital Expenditures,Other Cashflows From Financing Activities
2021-02-28,-4642000000.0,-1177000000.0,-11316000000.0,-984000000.0,-15016000000.0,2648000000.0,19226000000.0,-2719000000.0,126000000.0,23487000000.0,5406000000.0,-155000000.0,-14032000000.0,4253000000.0,239000000.0,-16997000000.0,-5367000000.0,
2020-02-29,-5000000.0,2253000000.0,-9029000000.0,24000000.0,-15652000000.0,767000000.0,29706000000.0,9429000000.0,-436000000.0,34547000000.0,5085000000.0,-1453000000.0,-15676000000.0,-2930000000.0,-633000000.0,-13364000000.0,-6674000000.0,
2019-02-28,-5000000.0,-784000000.0,-9756000000.0,-584000000.0,-11722000000.0,3271000000.0,30285000000.0,12961000000.0,-503000000.0,34943000000.0,4700000000.0,-988000000.0,-11137000000.0,-2189000000.0,-1241000000.0,-13000000000.0,-9181000000.0,-1000000.0
2018-02-28,500000000.0,3463000000.0,-9877000000.0,1200000000.0,-8699000000.0,769000000.0,29714000000.0,9693000000.0,572000000.0,27697000000.0,4417000000.0,-1736000000.0,-9899000000.0,-9287000000.0,-886000000.0,-14546000000.0,-8887000000.0,-1000000.0
