,Investments,Change To Liabilities,Total Cashflows From Investing Activities,Total Cash From Financing Activities,Change To Operating Activities,Net Income,Change In Cash,Effect Of Exchange Rate,Total Cash From Operating Activities,Depreciation,Other Cashflows From Investing Activities,Dividends Paid,Change To Inventory,Change To Account Receivables,Other Cashflows From Financing Activities,Change To Netincome,Capital Expenditures
2020-03-31,744000000.0,-214000000.0,-16450000000.0,-9878000000.0,-979000000.0,26398000000.0,-1823000000.0,-7000000.0,24513000000.0,11080000000.0,-542000000.0,-5373000000.0,-1235000000.0,4116000000.0,-4505000000.0,-20013000000.0,-14323000000.0
2019-03-31,-9810000000.0,1007000000.0,-21260000000.0,-7430000000.0,-3070000000.0,12879000000.0,-8428000000.0,-11000000.0,20273000000.0,10632000000.0,-2400000000.0,-5372000000.0,-353000000.0,517000000.0,-2058000000.0,-8012000000.0,-8288000000.0
2018-03-31,10246000000.0,-3891000000.0,4134000000.0,-6506000000.0,-522000000.0,15848000000.0,15759000000.0,-18000000.0,18149000000.0,10034000000.0,1186000000.0,-4298000000.0,-2324000000.0,3274000000.0,-2208000000.0,-11703000000.0,-7586000000.0
2017-03-31,1408000000.0,685000000.0,-11635000000.0,-7441000000.0,810000000.0,15949000000.0,4367000000.0,-19000000.0,23464000000.0,9890000000.0,-1691000000.0,-4298000000.0,1733000000.0,-1327000000.0,-3143000000.0,-11773000000.0,-9972000000.0
