,Investments,Change To Liabilities,Total Cashflows From Investing Activities,Net Borrowings,Total Cash From Financing Activities,Change To Operating Activities,Net Income,Change In Cash,Effect Of Exchange Rate,Total Cash From Operating Activities,Depreciation,Other Cashflows From Investing Activities,Dividends Paid,Change To Inventory,Change To Account Receivables,Other Cashflows From Financing Activities,Change To Netincome,Capital Expenditures,Issuance Of Stock
2020-03-31,11848000000.0,-49759000000.0,-105712000000.0,42554000000.0,9624000000.0,56785000000.0,-25779000000.0,-89868000000.0,-18460000000.0,18786000000.0,74789000000.0,-4212000000.0,-29738000000.0,-34340000000.0,-19268000000.0,-3192000000.0,-13222000000.0,-111549000000.0,
2019-03-31,1414000000.0,-9495000000.0,-144906000000.0,-21763000000.0,-74966000000.0,-16607000000.0,132871000000.0,-69580000000.0,3896000000.0,146053000000.0,62179000000.0,-6539000000.0,-29750000000.0,-20372000000.0,51237000000.0,-23453000000.0,-39241000000.0,-123200000000.0,
2018-03-31,-11315000000.0,47485000000.0,-97093000000.0,-2436000000.0,-23161000000.0,9407000000.0,107619000000.0,3130000000.0,-3167000000.0,119624000000.0,52551000000.0,-4401000000.0,-17938000000.0,-37504000000.0,-11730000000.0,-2787000000.0,-43634000000.0,-72251000000.0,
2017-03-31,2459000000.0,12289000000.0,-73119000000.0,-10472000000.0,210377000000.0,172797000000.0,-198524000000.0,93465000000.0,2037000000.0,-45829000000.0,46815000000.0,1192000000.0,-12755000000.0,24869000000.0,7973000000.0,-2713000000.0,-151834000000.0,-56474000000.0,236317000000.0
