,Investments,Change To Liabilities,Total Cashflows From Investing Activities,Total Cash From Financing Activities,Change To Operating Activities,Net Income,Change In Cash,Repurchase Of Stock,Total Cash From Operating Activities,Depreciation,Other Cashflows From Investing Activities,Dividends Paid,Change To Inventory,Change To Account Receivables,Other Cashflows From Financing Activities,Change To Netincome,Capital Expenditures
2021-02-28,-5043000000.0,8586000000.0,-29254000000.0,-5274000000.0,2097000000.0,21120000000.0,-502000000.0,-1000000.0,34027000000.0,9940000000.0,-2648000000.0,-4944000000.0,-7445000000.0,-3443000000.0,-329000000.0,-7229000000.0,-18627000000.0
2020-02-29,6989000000.0,24225000000.0,-18422000000.0,-4895000000.0,3262000000.0,20782000000.0,22035000000.0,-1000000.0,45353000000.0,8412000000.0,-5025000000.0,-4634000000.0,-4099000000.0,-8391000000.0,-261000000.0,-7982000000.0,-19389000000.0
2019-02-28,-359000000.0,7087000000.0,-22362000000.0,-13897000000.0,146000000.0,17940000000.0,-13365000000.0,-9248000000.0,22894000000.0,7389000000.0,-3467000000.0,-4379000000.0,-7074000000.0,-2539000000.0,-270000000.0,-8168000000.0,-17141000000.0
2018-02-28,-4000000000.0,2486000000.0,-17911000000.0,-3401000000.0,4022000000.0,16411000000.0,6251000000.0,-1000000.0,27564000000.0,6455000000.0,-2201000000.0,-3166000000.0,-2709000000.0,-2049000000.0,-234000000.0,-5200000000.0,-10766000000.0
