,Investments,Change To Liabilities,Total Cashflows From Investing Activities,Total Cash From Financing Activities,Change To Operating Activities,Net Income,Change In Cash,Repurchase Of Stock,Effect Of Exchange Rate,Total Cash From Operating Activities,Depreciation,Other Cashflows From Investing Activities,Dividends Paid,Change To Inventory,Change To Account Receivables,Other Cashflows From Financing Activities,Change To Netincome,Capital Expenditures,Net Borrowings
2020-03-31,11439000000.0,1992000000.0,-10234000000.0,-54721000000.0,4761000000.0,59704000000.0,9023000000.0,-29584000000.0,-179000000.0,74157000000.0,14214000000.0,348000000.0,-22775000000.0,-173000000.0,-793000000.0,-2362000000.0,-25540000000.0,-7475000000.0,
2019-03-31,-18750000000.0,998000000.0,-49763000000.0,-22279000000.0,8565000000.0,51539000000.0,-5292000000.0,-1000000.0,-24000000.0,66774000000.0,10621000000.0,-1422000000.0,-21828000000.0,-1567000000.0,1251000000.0,-5000000.0,-18235000000.0,-22303000000.0,-445000000.0
2018-03-31,-9545000000.0,300000000.0,-34189000000.0,-62549000000.0,-11346000000.0,50284000000.0,-81051000000.0,-38773000000.0,-40000000.0,15727000000.0,9213000000.0,531000000.0,-23414000000.0,-5971000000.0,-4333000000.0,-3000000.0,-36058000000.0,-15620000000.0,-359000000.0
2017-03-31,4843000000.0,4980000000.0,-17989000000.0,-20552000000.0,10874000000.0,55793000000.0,35838000000.0,-22000000.0,-71000000.0,74450000000.0,7821000000.0,973000000.0,-20116000000.0,-2042000000.0,-11195000000.0,-5000000.0,-10528000000.0,-14805000000.0,-409000000.0
