,Investments,Change To Liabilities,Total Cashflows From Investing Activities,Net Borrowings,Total Cash From Financing Activities,Change To Operating Activities,Net Income,Change In Cash,Effect Of Exchange Rate,Total Cash From Operating Activities,Depreciation,Other Cashflows From Investing Activities,Dividends Paid,Other Cashflows From Financing Activities,Change To Netincome,Capital Expenditures,Repurchase Of Stock
2021-02-28,-31436000000.0,9218000000.0,-94557000000.0,-25000000.0,224757000000.0,-245409000000.0,17693000000.0,-46669000000.0,-40000000.0,-176829000000.0,31450000000.0,-36820000000.0,-10790000000.0,235572000000.0,10219000000.0,-4908000000.0,
2020-02-29,-128502534746.0,-27020725021.0,-193568711142.0,-76303630005.0,217014527370.0,65226540019.0,37253451441.0,93248719502.0,-282545431.0,70087630523.0,29932361142.0,-30437452009.0,-16006907757.0,309325065132.0,-35303997058.0,-6017454044.0,
2019-03-31,-138166000000.0,0.0,-194595000000.0,-76303630005.0,403329000000.0,-114046000000.0,39408000000.0,5331000000.0,269000000.0,-203671000000.0,22686000000.0,-22405000000.0,-14672000000.0,418001000000.0,-181489000000.0,-11141000000.0,
2018-03-31,-43332000000.0,0.0,-68075000000.0,3284000000.0,492405000000.0,-318194000000.0,38677000000.0,116395000000.0,767000000.0,-308701000000.0,21056000000.0,6278000000.0,-14668000000.0,503790000000.0,-78134000000.0,-8623000000.0,-1000000.0
