,Investments,Change To Liabilities,Total Cashflows From Investing Activities,Net Borrowings,Total Cash From Financing Activities,Change To Operating Activities,Net Income,Change In Cash,Repurchase Of Stock,Total Cash From Operating Activities,Depreciation,Other Cashflows From Investing Activities,Dividends Paid,Change To Inventory,Change To Account Receivables,Other Cashflows From Financing Activities,Change To Netincome,Capital Expenditures,Effect Of Exchange Rate
2020-03-31,1098000000.0,14154000000.0,-13319000000.0,-8450000000.0,-49067000000.0,-281000000.0,37968000000.0,-5470000000.0,-28250000000.0,56917000000.0,14687000000.0,844000000.0,-8648000000.0,-5252000000.0,-2702000000.0,-3719000000.0,-39225000000.0,-24299000000.0,
2019-03-31,-2361000000.0,-590000000.0,-23512000000.0,-12950000000.0,-30755000000.0,-321000000.0,34359000000.0,9448000000.0,-6060000000.0,63716000000.0,13928000000.0,400000000.0,-8052000000.0,14000000.0,10901000000.0,-3693000000.0,-23677000000.0,-14579000000.0,
2018-03-31,-306000000.0,8266000000.0,-43064000000.0,29415000000.0,15845000000.0,-1919000000.0,34780000000.0,38000000000.0,-2935000000.0,63558000000.0,15374000000.0,476000000.0,-7221000000.0,1592000000.0,-5100000000.0,-3414000000.0,-18121000000.0,-25598000000.0,-9000000.0
2017-03-31,19156000000.0,-5120000000.0,-11354000000.0,-15176000000.0,-17663000000.0,-464000000.0,29011000000.0,19243000000.0,-1000000.0,47954000000.0,13794000000.0,3394000000.0,-6793000000.0,-4386000000.0,12924000000.0,4307000000.0,-21247000000.0,-32331000000.0,-32000000.0
