,Change To Liabilities,Total Cashflows From Investing Activities,Net Borrowings,Total Cash From Financing Activities,Change To Operating Activities,Net Income,Change In Cash,Repurchase Of Stock,Total Cash From Operating Activities,Depreciation,Other Cashflows From Investing Activities,Dividends Paid,Change To Inventory,Change To Account Receivables,Change To Netincome,Capital Expenditures,Investments
2020-03-31,-3576000000.0,-2528000000.0,-25000000.0,-10173000000.0,-835000000.0,19370000000.0,14766000000.0,-4252000000.0,27468000000.0,2761000000.0,-326000000.0,-5896000000.0,1446000000.0,8539000000.0,-7459000000.0,-2159000000.0,
2019-03-31,-1193000000.0,-5744000000.0,-25000000.0,-9524000000.0,-2082000000.0,17775000000.0,5860000000.0,-3523000000.0,21129000000.0,2599000000.0,-3615000000.0,-6001000000.0,2930000000.0,2975000000.0,-9022000000.0,-1908000000.0,-1000000.0
2018-03-31,2290000000.0,-3245000000.0,-25000000.0,-9530000000.0,1758000000.0,19043000000.0,8927000000.0,-3445000000.0,21703000000.0,2124000000.0,-105000000.0,-6085000000.0,-155000000.0,-5084000000.0,-6916000000.0,-1689000000.0,-1252000000.0
2017-03-31,-1094000000.0,-3503000000.0,-25000000.0,-9800000000.0,-2280000000.0,22017000000.0,2023000000.0,-3512000000.0,15327000000.0,1937000000.0,-130000000.0,-6288000000.0,-1987000000.0,1637000000.0,-13978000000.0,-2166000000.0,-1019000000.0
