,Investments,Change To Liabilities,Total Cashflows From Investing Activities,Total Cash From Financing Activities,Change To Operating Activities,Net Income,Change In Cash,Repurchase Of Stock,Total Cash From Operating Activities,Depreciation,Other Cashflows From Investing Activities,Dividends Paid,Change To Inventory,Change To Account Receivables,Other Cashflows From Financing Activities,Change To Netincome,Capital Expenditures
2020-03-31,-34039000000.0,-3540000000.0,-21748000000.0,-79223000000.0,189000000.0,13045000000.0,-82001000000.0,-68544000000.0,18971000000.0,3521000000.0,-78000000.0,-10675000000.0,-2914000000.0,13864000000.0,-4000000.0,-6598000000.0,-2938000000.0
2019-03-31,-2001000000.0,1065000000.0,-4367000000.0,-12183000000.0,-2124000000.0,13384000000.0,277000000.0,-2000000.0,16828000000.0,3144000000.0,-2000000.0,-12176000000.0,-714000000.0,-4138000000.0,-5000000.0,1255000000.0,-2387000000.0
2018-03-31,20985000000.0,8254000000.0,18420000000.0,-12184000000.0,2899000000.0,5550000000.0,22199000000.0,-2000000.0,15962000000.0,3215000000.0,-2000000.0,-12176000000.0,-454000000.0,-7862000000.0,-6000000.0,1855000000.0,-2930000000.0
2017-03-31,24970000000.0,-12995000000.0,20547000000.0,-12184000000.0,8000000.0,1777000000.0,16912000000.0,-2000000.0,8549000000.0,3708000000.0,3000000.0,-12176000000.0,-206000000.0,15215000000.0,-6000000.0,-866000000.0,-3917000000.0
