,Investments,Change To Liabilities,Total Cashflows From Investing Activities,Net Borrowings,Total Cash From Financing Activities,Change To Operating Activities,Net Income,Change In Cash,Effect Of Exchange Rate,Total Cash From Operating Activities,Depreciation,Other Cashflows From Investing Activities,Dividends Paid,Change To Account Receivables,Other Cashflows From Financing Activities,Change To Netincome,Capital Expenditures
2020-03-31,-11618000000.0,-14519000000.0,-32988000000.0,587609000000.0,552320000000.0,-115549000000.0,70754000000.0,269097000000.0,1670000000.0,-252199000000.0,139624000000.0,-103000000.0,-23601000000.0,-52272000000.0,-11688000000.0,-308580000000.0,-4330000000.0
2019-03-31,-6786000000.0,11263000000.0,-34063000000.0,314263000000.0,299752000000.0,-45988000000.0,68796000000.0,26365000000.0,-758000000.0,-239403000000.0,134155000000.0,-28000000.0,-17802000000.0,-57274000000.0,3291000000.0,-350355000000.0,-6494000000.0
2018-03-31,-25823000000.0,-16484000000.0,-31962000000.0,160402000000.0,147611000000.0,-47833000000.0,63679000000.0,64859000000.0,-3207000000.0,-50751000000.0,128346000000.0,383000000.0,-12677000000.0,-26269000000.0,-114000000.0,-152190000000.0,-4548000000.0
2017-03-31,-22533000000.0,5800000000.0,-28865000000.0,246907000000.0,234908000000.0,-35463000000.0,53157000000.0,-15808000000.0,-1667000000.0,-220251000000.0,119954000000.0,1262000000.0,-11872000000.0,-32101000000.0,-127000000.0,-331598000000.0,-2806000000.0
