,Investments,Change To Liabilities,Total Cashflows From Investing Activities,Net Borrowings,Total Cash From Financing Activities,Net Income,Change In Cash,Repurchase Of Stock,Effect Of Exchange Rate,Total Cash From Operating Activities,Depreciation,Dividends Paid,Change To Inventory,Change To Account Receivables,Other Cashflows From Financing Activities,Change To Netincome,Capital Expenditures,Change To Operating Activities
2020-03-31,107712000000.0,-487713000000.0,-500727000000.0,290646000000.0,-156629000000.0,535353000000.0,162230000000.0,-289699000000.0,-30142000000.0,849728000000.0,419546000000.0,-197704000000.0,-73356000000.0,547654000000.0,40128000000.0,-121506000000.0,-326014000000.0,
2019-03-31,-171929000000.0,44571000000.0,-273687000000.0,4948000000.0,-227480000000.0,590737000000.0,155121000000.0,-11000000.0,3607000000.0,652681000000.0,241432000000.0,-198276000000.0,-20064000000.0,-299313000000.0,-34141000000.0,72053000000.0,-315514000000.0,-11539000000.0
2018-03-31,-189694000000.0,224839000000.0,-317583000000.0,-416149000000.0,-554328000000.0,560173000000.0,-140053000000.0,-15000000.0,-10624000000.0,742482000000.0,269288000000.0,-153806000000.0,-60265000000.0,-366807000000.0,15642000000.0,95030000000.0,-277456000000.0,-11539000000.0
2017-03-31,-48298000000.0,194692000000.0,-179585000000.0,-630328000000.0,-752162000000.0,440293000000.0,-355446000000.0,-8000000.0,-6703000000.0,583004000000.0,250840000000.0,-87170000000.0,-115595000000.0,-226319000000.0,-34656000000.0,26276000000.0,-160055000000.0,-11539000000.0
