,Investments,Change To Liabilities,Total Cashflows From Investing Activities,Total Cash From Financing Activities,Change To Operating Activities,Net Income,Change In Cash,Repurchase Of Stock,Effect Of Exchange Rate,Total Cash From Operating Activities,Depreciation,Other Cashflows From Investing Activities,Dividends Paid,Other Cashflows From Financing Activities,Change To Netincome,Capital Expenditures,Net Borrowings
2020-03-31,-46730000000.0,0.0,-32838000000.0,215529000000.0,-75120000000.0,20252000000.0,168118000000.0,-5380000000.0,-23000000.0,-14549000000.0,9261000000.0,17649000000.0,-7381000000.0,228290000000.0,20483000000.0,-3343000000.0,
2019-03-31,166105000000.0,0.0,184949000000.0,211421000000.0,-220791000000.0,24359000000.0,178879000000.0,-8000000.0,8000000.0,-217501000000.0,9481000000.0,24394000000.0,-7378000000.0,258807000000.0,-40397000000.0,-4226000000.0,-40000000000.0
2018-03-31,486319000000.0,0.0,497774000000.0,442245000000.0,-195798000000.0,21191000000.0,639454000000.0,-12000000.0,-11000000.0,-300553000000.0,8878000000.0,21270000000.0,-7377000000.0,449634000000.0,-144740000000.0,-5826000000.0,-40000000000.0
2017-03-31,-38658000000.0,0.0,-23676000000.0,181777000000.0,398369000000.0,28157000000.0,541102000000.0,-3608000000.0,-12000000.0,383014000000.0,8824000000.0,24274000000.0,-7307000000.0,225192000000.0,-62449000000.0,-5630000000.0,-32500000000.0
