,Investments,Change To Liabilities,Total Cashflows From Investing Activities,Net Borrowings,Total Cash From Financing Activities,Change To Operating Activities,Net Income,Change In Cash,Repurchase Of Stock,Effect Of Exchange Rate,Total Cash From Operating Activities,Depreciation,Other Cashflows From Investing Activities,Dividends Paid,Change To Inventory,Change To Account Receivables,Other Cashflows From Financing Activities,Change To Netincome,Capital Expenditures
2020-03-31,768000000.0,285000000.0,-4161000000.0,3200000000.0,2048000000.0,-71000000.0,2678000000.0,2836000000.0,15000000.0,20000000.0,4927000000.0,1434000000.0,-91000000.0,-989000000.0,258000000.0,857000000.0,-178000000.0,-1258000000.0,-4838000000.0
2019-03-31,1157000000.0,195000000.0,240000000.0,87000000.0,-917000000.0,594000000.0,3715000000.0,3241000000.0,26000000.0,12000000.0,3905000000.0,1343000000.0,-22000000.0,-834000000.0,-157000000.0,-1732000000.0,-196000000.0,-1266000000.0,-895000000.0
2018-03-31,-655000000.0,130000000.0,-1587000000.0,1187000000.0,-2175000000.0,839000000.0,3070000000.0,-614000000.0,-2585000000.0,14000000.0,3133000000.0,1382000000.0,1000000.0,-748000000.0,-1314000000.0,-1668000000.0,-29000000.0,-131000000.0,-922000000.0
2017-03-31,693000000.0,-123000000.0,-841000000.0,1799000000.0,146000000.0,484000000.0,1863000000.0,1941000000.0,-743000000.0,-15000000.0,2651000000.0,1447000000.0,16000000.0,-699000000.0,-402000000.0,-50000000.0,-211000000.0,-1197000000.0,-1550000000.0
