,Investments,Change To Liabilities,Total Cashflows From Investing Activities,Net Borrowings,Total Cash From Financing Activities,Change To Operating Activities,Net Income,Change In Cash,Repurchase Of Stock,Total Cash From Operating Activities,Depreciation,Other Cashflows From Investing Activities,Dividends Paid,Change To Inventory,Change To Account Receivables,Other Cashflows From Financing Activities,Change To Netincome,Capital Expenditures
2020-03-31,-8823000000.0,-3086000000.0,-20315000000.0,-6904000000.0,-25487000000.0,5621000000.0,25396000000.0,-5892000000.0,-7892000000.0,39909000000.0,9191000000.0,-519000000.0,-11731000000.0,719000000.0,985000000.0,1040000000.0,-10929000000.0,-10979000000.0
2019-03-31,-5896000000.0,-2129000000.0,-9232000000.0,1201000000.0,-15880000000.0,-9714000000.0,25341000000.0,1283000000.0,-7009000000.0,26396000000.0,9911000000.0,2750000000.0,-9452000000.0,2098000000.0,868000000.0,-620000000.0,-12071000000.0,-8788000000.0
2018-03-31,6769000000.0,-3489000000.0,747000000.0,50900000000.0,27773000000.0,10410000000.0,20907000000.0,9191000000.0,-15016000000.0,-19329000000.0,10274000000.0,2257000000.0,-7953000000.0,2193000000.0,-61446000000.0,-158000000.0,-9159000000.0,-9607000000.0
2017-03-31,1617000000.0,-8468000000.0,1995000000.0,74885000000.0,47630000000.0,-60913000000.0,18724000000.0,3670000000.0,-20711000000.0,-45955000000.0,10121000000.0,3830000000.0,-6386000000.0,2800000000.0,2618000000.0,-158000000.0,-20156000000.0,-18059000000.0
