,Investments,Change To Liabilities,Total Cashflows From Investing Activities,Net Borrowings,Total Cash From Financing Activities,Change To Operating Activities,Issuance Of Stock,Net Income,Change In Cash,Effect Of Exchange Rate,Total Cash From Operating Activities,Depreciation,Other Cashflows From Investing Activities,Dividends Paid,Change To Inventory,Change To Account Receivables,Other Cashflows From Financing Activities,Change To Netincome,Capital Expenditures
2020-03-31,-3096000000.0,-4668000000.0,-15348000000.0,7474000000.0,-12338000000.0,1329000000.0,678000000.0,-6447000000.0,-1639000000.0,-25000000.0,26072000000.0,25950000000.0,-3196000000.0,-578000000.0,357000000.0,1881000000.0,-19912000000.0,10062000000.0,-9296000000.0
2019-03-31,-12000000.0,-325000000.0,-7457000000.0,-4907000000.0,-9496000000.0,1091000000.0,678000000.0,632000000.0,-751000000.0,230000000.0,15971000000.0,10434000000.0,-710000000.0,-578000000.0,527000000.0,-353000000.0,-4011000000.0,1881000000.0,-7818000000.0
2018-03-31,-12000000.0,1792000000.0,-5281000000.0,-5018000000.0,-11390000000.0,1233000000.0,678000000.0,1170000000.0,-25000000.0,-13000000.0,16658000000.0,10874000000.0,-106000000.0,-581000000.0,267000000.0,-1074000000.0,-5791000000.0,799000000.0,-6527000000.0
2017-03-31,6991000000.0,-1907000000.0,-13982000000.0,19546000000.0,12545000000.0,3883000000.0,678000000.0,-1398000000.0,3638000000.0,84000000.0,4990000000.0,10812000000.0,-605000000.0,-445000000.0,-990000000.0,-482000000.0,-6556000000.0,-8538000000.0,-9956000000.0
