,Investments,Change To Liabilities,Total Cashflows From Investing Activities,Net Borrowings,Total Cash From Financing Activities,Change To Operating Activities,Issuance Of Stock,Net Income,Change In Cash,Repurchase Of Stock,Effect Of Exchange Rate,Total Cash From Operating Activities,Depreciation,Other Cashflows From Investing Activities,Dividends Paid,Change To Inventory,Change To Account Receivables,Other Cashflows From Financing Activities,Change To Netincome,Capital Expenditures
2020-03-31,-5267000000.0,-5436000000.0,-18052000000.0,-2752000000.0,-21921000000.0,8951000000.0,606000000.0,25677000000.0,-4980000000.0,-11991000000.0,30000000.0,34963000000.0,21833000000.0,-1332000000.0,-6524000000.0,-691000000.0,913000000.0,-1260000000.0,-30244000000.0,-34693000000.0
2019-03-31,5340000000.0,2779000000.0,-22530000000.0,-345000000.0,-7193000000.0,3827000000.0,357000000.0,21216000000.0,18247000000.0,-11991000000.0,-37000000.0,48008000000.0,20436000000.0,1822000000.0,-6054000000.0,1491000000.0,-844000000.0,-1151000000.0,-13144000000.0,-30620000000.0
2018-03-31,-8628000000.0,7161000000.0,-26271000000.0,-2289000000.0,-7180000000.0,4089000000.0,395000000.0,20046000000.0,7848000000.0,-2000000.0,13000000.0,41286000000.0,18939000000.0,-420000000.0,-5328000000.0,-2269000000.0,-6914000000.0,44000000.0,-10265000000.0,-18555000000.0
2017-03-31,-1786000000.0,3479000000.0,-17840000000.0,728000000.0,-8483000000.0,4075000000.0,395000000.0,18206000000.0,8527000000.0,-2925000000.0,-19000000.0,34871000000.0,18085000000.0,-318000000.0,-5548000000.0,-3253000000.0,-3589000000.0,-738000000.0,-12615000000.0,-16137000000.0
