,Investments,Change To Liabilities,Total Cashflows From Investing Activities,Net Borrowings,Total Cash From Financing Activities,Change To Operating Activities,Issuance Of Stock,Net Income,Change In Cash,Repurchase Of Stock,Total Cash From Operating Activities,Depreciation,Other Cashflows From Investing Activities,Dividends Paid,Change To Inventory,Change To Account Receivables,Other Cashflows From Financing Activities,Change To Netincome,Capital Expenditures
2021-02-28,-45000000.0,-2076000000.0,-3106000000.0,9322000000.0,8019000000.0,2534000000.0,1000000.0,-11407000000.0,-3232000000.0,-14000000.0,-8144000000.0,5698000000.0,-12000000.0,-415000000.0,-1747000000.0,2296000000.0,-875000000.0,-3429000000.0,-2120000000.0
2020-02-29,-63000000.0,-148000000.0,3660000000.0,-11949000000.0,-13086000000.0,3112000000.0,1000000.0,2420000000.0,2538000000.0,-17000000.0,11965000000.0,5421000000.0,11551000000.0,-415000000.0,1592000000.0,-864000000.0,-705000000.0,-949000000.0,-6308000000.0
2019-02-28,-1201000000.0,316000000.0,-6707000000.0,4628000000.0,3648000000.0,-708000000.0,1000000.0,2596000000.0,3572000000.0,-20000000.0,6630000000.0,5393000000.0,3919000000.0,-552000000.0,-1284000000.0,39000000.0,-408000000.0,-1063000000.0,-9217000000.0
2018-02-28,-3257000000.0,608000000.0,-6856000000.0,-3156000000.0,-4485000000.0,512000000.0,1000000.0,3749000000.0,-1705000000.0,-53000000.0,9637000000.0,5227000000.0,-517000000.0,-549000000.0,-458000000.0,-106000000.0,-727000000.0,-1690000000.0,-2540000000.0
