,Investments,Change To Liabilities,Total Cashflows From Investing Activities,Total Cash From Financing Activities,Change To Operating Activities,Net Income,Change In Cash,Repurchase Of Stock,Effect Of Exchange Rate,Total Cash From Operating Activities,Depreciation,Other Cashflows From Investing Activities,Dividends Paid,Change To Inventory,Change To Account Receivables,Other Cashflows From Financing Activities,Change To Netincome,Capital Expenditures
2020-03-31,6399000000.0,-1307000000.0,-44490000000.0,-9342000000.0,1761000000.0,18378000000.0,-20155000000.0,-3849000000.0,-23000000.0,33701000000.0,13046000000.0,-83000000.0,-5464000000.0,-10000000.0,1681000000.0,-29000000.0,-8040000000.0,-14847000000.0
2019-03-31,-9295000000.0,37000000.0,-20958000000.0,-9203000000.0,498000000.0,18388000000.0,714000000.0,-3999000000.0,-61000000.0,30456000000.0,13175000000.0,-77000000.0,-5203000000.0,69000000.0,-726000000.0,-1000000.0,-8630000000.0,-9968000000.0
2018-03-31,1161000000.0,636000000.0,-16306000000.0,-8601000000.0,1497000000.0,17902000000.0,4229000000.0,-4670000000.0,-5000000.0,29143000000.0,12478000000.0,25000000.0,-3931000000.0,83000000.0,-3409000000.0,-1000000.0,-7667000000.0,-13484000000.0
2017-03-31,33966000000.0,1086000000.0,17736000000.0,-8257000000.0,3014000000.0,16383000000.0,41051000000.0,-5001000000.0,-5000000.0,31578000000.0,11866000000.0,28000000.0,-3255000000.0,41000000.0,-918000000.0,-1000000.0,-7481000000.0,-16116000000.0
