,Change To Liabilities,Total Cashflows From Investing Activities,Net Borrowings,Total Cash From Financing Activities,Change To Operating Activities,Net Income,Change In Cash,Effect Of Exchange Rate,Total Cash From Operating Activities,Depreciation,Other Cashflows From Investing Activities,Dividends Paid,Change To Inventory,Change To Account Receivables,Other Cashflows From Financing Activities,Change To Netincome,Capital Expenditures,Investments
2020-03-31,4469000000.0,-257240000000.0,-2720000000.0,-66081000000.0,77165000000.0,75148000000.0,-45953000000.0,-2661000000.0,280029000000.0,199182000000.0,19000000.0,-24549000000.0,1563000000.0,-22481000000.0,-38812000000.0,-59641000000.0,-191294000000.0,
2019-03-31,32765000000.0,-186879000000.0,20765000000.0,5451000000.0,44284000000.0,93616000000.0,61239000000.0,658000000.0,242009000000.0,158038000000.0,2364000000.0,-22438000000.0,6257000000.0,-43290000000.0,7124000000.0,-53749000000.0,-179986000000.0,
2018-03-31,2860000000.0,-208030000000.0,-64092000000.0,-88896000000.0,46139000000.0,58173000000.0,-69967000000.0,-4144000000.0,232282000000.0,186960000000.0,983000000.0,-21739000000.0,-8302000000.0,-40133000000.0,-3065000000.0,-55325000000.0,-99266000000.0,2114000000.0
2017-03-31,18964000000.0,-428354000000.0,249326000000.0,222076000000.0,31266000000.0,65686000000.0,26485000000.0,-5789000000.0,238552000000.0,154542000000.0,61649000000.0,-21037000000.0,-4497000000.0,-9032000000.0,-6213000000.0,-58023000000.0,-67141000000.0,23438000000.0
