,Investments,Change To Liabilities,Total Cashflows From Investing Activities,Net Borrowings,Total Cash From Financing Activities,Change To Operating Activities,Net Income,Change In Cash,Effect Of Exchange Rate,Total Cash From Operating Activities,Depreciation,Other Cashflows From Investing Activities,Dividends Paid,Change To Inventory,Change To Account Receivables,Other Cashflows From Financing Activities,Change To Netincome,Capital Expenditures,Issuance Of Stock,Repurchase Of Stock
2020-03-31,-9825000000.0,134000000.0,-23488000000.0,11304000000.0,7111000000.0,694000000.0,13765000000.0,1448000000.0,-366000000.0,18191000000.0,6406000000.0,-119000000.0,-4897000000.0,-3930000000.0,-866000000.0,704000000.0,-3470000000.0,-10007000000.0,,
2019-03-31,1363000000.0,915000000.0,-7697000000.0,-15000000000.0,-18528000000.0,-11032000000.0,14593000000.0,-22069000000.0,-1294000000.0,5450000000.0,6362000000.0,-122000000.0,-4893000000.0,-2651000000.0,-1676000000.0,1365000000.0,-6365000000.0,-8514000000.0,,
2018-03-31,-12542000000.0,-1304000000.0,-23354000000.0,27589000000.0,50305000000.0,1497000000.0,14504000000.0,48412000000.0,394000000.0,21066000000.0,6157000000.0,-50000000.0,-4404000000.0,2566000000.0,-2529000000.0,-92000000.0,-5605000000.0,-10463000000.0,27213000000.0,-1000000.0
2017-03-31,1620000000.0,1255000000.0,-6451000000.0,27589000000.0,-9572000000.0,2900000000.0,12488000000.0,4771000000.0,-588000000.0,21065000000.0,5629000000.0,198000000.0,-4478000000.0,-1123000000.0,1465000000.0,-93000000.0,-6245000000.0,-8211000000.0,27213000000.0,-5001000000.0
