,Investments,Change To Liabilities,Total Cashflows From Investing Activities,Net Borrowings,Total Cash From Financing Activities,Change To Operating Activities,Net Income,Change In Cash,Total Cash From Operating Activities,Depreciation,Other Cashflows From Investing Activities,Dividends Paid,Change To Inventory,Change To Account Receivables,Other Cashflows From Financing Activities,Change To Netincome,Capital Expenditures
2020-03-31,598000000.0,7852000000.0,-3788000000.0,-8615000000.0,-13001000000.0,796000000.0,25412000000.0,4216000000.0,21005000000.0,5059000000.0,-65000000.0,-4385000000.0,-112000000.0,-10777000000.0,-1000000.0,-7225000000.0,-17431000000.0
2019-03-31,198000000.0,5105000000.0,-9531000000.0,-13063000000.0,-17323000000.0,142000000.0,19767000000.0,-3289000000.0,23565000000.0,4493000000.0,8000000.0,-4259000000.0,596000000.0,-7128000000.0,-1000000.0,590000000.0,-9898000000.0
2018-03-31,-151000000.0,12628000000.0,-15830000000.0,-1392000000.0,-5142000000.0,934000000.0,17453000000.0,3134000000.0,24107000000.0,4830000000.0,-271000000.0,-3749000000.0,-3546000000.0,-9027000000.0,-1000000.0,835000000.0,-16243000000.0
2009-03-31,-151000000.0,0.0,-15830000000.0,-1392000000.0,-5142000000.0,934000000.0,8671000000.0,3134000000.0,24107000000.0,4830000000.0,-271000000.0,-3749000000.0,-3546000000.0,-9027000000.0,-1000000.0,835000000.0,-16243000000.0
