,Investments,Change To Liabilities,Total Cashflows From Investing Activities,Net Borrowings,Total Cash From Financing Activities,Change To Operating Activities,Net Income,Change In Cash,Repurchase Of Stock,Effect Of Exchange Rate,Total Cash From Operating Activities,Depreciation,Other Cashflows From Investing Activities,Dividends Paid,Change To Inventory,Change To Account Receivables,Other Cashflows From Financing Activities,Change To Netincome,Capital Expenditures
2020-03-31,-1821000000.0,-24533000000.0,-21281000000.0,-2250000000.0,-72739000000.0,-23734000000.0,7693000000.0,-87021000000.0,-40002000000.0,-9421000000.0,16419000000.0,34105000000.0,1466000000.0,-23552000000.0,1034000000.0,25788000000.0,-6935000000.0,-8105000000.0,-19463000000.0
2019-03-31,1446000000.0,-18739000000.0,-25304000000.0,-50000000.0,-21583000000.0,21351000000.0,66513000000.0,22617000000.0,-40002000000.0,603000000.0,68901000000.0,27805000000.0,1216000000.0,-20621000000.0,-18185000000.0,-12077000000.0,-912000000.0,-19169000000.0,-20827000000.0
2018-03-31,143000000.0,6132000000.0,-34808000000.0,-11495000000.0,-19970000000.0,78437000000.0,34772000000.0,69392000000.0,-40002000000.0,-913000000.0,125082000000.0,31706000000.0,-138000000.0,-7153000000.0,-14476000000.0,-6999000000.0,-1322000000.0,-25975000000.0,-28062000000.0
2017-03-31,-6029000000.0,-13130000000.0,-40693000000.0,25877000000.0,15522000000.0,28169000000.0,3967000000.0,67836000000.0,-40002000000.0,-4335000000.0,97342000000.0,33972000000.0,-3421000000.0,-8734000000.0,42229000000.0,7432000000.0,-1621000000.0,-4398000000.0,-21295000000.0
