,Investments,Change To Liabilities,Total Cashflows From Investing Activities,Net Borrowings,Total Cash From Financing Activities,Change To Operating Activities,Issuance Of Stock,Net Income,Change In Cash,Total Cash From Operating Activities,Depreciation,Other Cashflows From Investing Activities,Dividends Paid,Change To Account Receivables,Change To Netincome,Capital Expenditures,Other Cashflows From Financing Activities
2020-03-31,8295000000.0,0.0,2714000000.0,29250000000.0,23260000000.0,6303000000.0,2000000.0,24430000000.0,55753000000.0,29778000000.0,280000000.0,-1000000.0,-5992000000.0,-1386000000.0,-10660000000.0,-174000000.0,
2019-03-31,-38739000000.0,0.0,-34182000000.0,29250000000.0,-5505000000.0,8189000000.0,3000000.0,24134000000.0,-6875000000.0,32812000000.0,230000000.0,5033000000.0,-5508000000.0,-729000000.0,-9722000000.0,-72000000.0,
2018-03-31,-33952000000.0,0.0,-29176000000.0,29250000000.0,-4269000000.0,11253000000.0,3000000.0,22052000000.0,1465000000.0,34911000000.0,212000000.0,5020000000.0,-4268000000.0,-55000000.0,-8470000000.0,-53000000.0,-1000000.0
2017-03-31,6871000000.0,84000000.0,6880000000.0,29250000000.0,-3786000000.0,11151000000.0,3000000.0,19530000000.0,36062000000.0,32968000000.0,203000000.0,185000000.0,-3786000000.0,508000000.0,-7479000000.0,-64000000.0,-1000000.0
