,Change To Liabilities,Total Cashflows From Investing Activities,Net Borrowings,Total Cash From Financing Activities,Change To Operating Activities,Net Income,Change In Cash,Repurchase Of Stock,Effect Of Exchange Rate,Total Cash From Operating Activities,Depreciation,Other Cashflows From Investing Activities,Dividends Paid,Change To Inventory,Change To Account Receivables,Other Cashflows From Financing Activities,Change To Netincome,Capital Expenditures
2020-03-31,10070000000.0,-610950000000.0,29338000000.0,-546381000000.0,83934000000.0,639767000000.0,164605000000.0,-150000000000.0,-1419000000.0,1323356000000.0,689925000000.0,17762000000.0,-257009000000.0,15060000000.0,-205412000000.0,-168710000000.0,-290920000000.0,-392941000000.0
2019-03-31,23008000000.0,-714578000000.0,143575000000.0,-310951000000.0,-4980000000.0,617669000000.0,3763000000.0,-150000000000.0,-314000000.0,1029607000000.0,562402000000.0,-14708000000.0,-227700000000.0,-1544000000.0,-271723000000.0,-76826000000.0,-287831000000.0,-399531000000.0
2018-03-31,44914000000.0,-633847000000.0,66473000000.0,-453168000000.0,33274000000.0,572528000000.0,-25773000000.0,-150000000000.0,-163000000.0,1061405000000.0,546815000000.0,-4727000000.0,-219885000000.0,-12185000000.0,-219125000000.0,-149756000000.0,-287435000000.0,-361102000000.0
2017-03-31,69576000000.0,-637225000000.0,-134606000000.0,-485784000000.0,27740000000.0,546658000000.0,34520000000.0,-100000000000.0,-3545000000.0,1161074000000.0,545194000000.0,-51938000000.0,-185430000000.0,2064000000.0,-171903000000.0,-65748000000.0,-207494000000.0,-338749000000.0
