,Investments,Change To Liabilities,Total Cashflows From Investing Activities,Net Borrowings,Total Cash From Financing Activities,Change To Operating Activities,Net Income,Change In Cash,Effect Of Exchange Rate,Total Cash From Operating Activities,Depreciation,Other Cashflows From Investing Activities,Dividends Paid,Change To Inventory,Change To Account Receivables,Other Cashflows From Financing Activities,Change To Netincome,Capital Expenditures,Issuance Of Stock
2020-12-31,-1276000000.0,12389000000.0,-36368000000.0,95862000000.0,60869000000.0,12330000000.0,44648000000.0,108833000000.0,-4228000000.0,88561000000.0,29521000000.0,-4345000000.0,-14439000000.0,-2939000000.0,-25454000000.0,-20554000000.0,-26001000000.0,-25214000000.0,
2019-12-31,-324634000000.0,4706000000.0,-352769000000.0,287023000000.0,254018000000.0,-1618000000.0,36717000000.0,-6333000000.0,341000000.0,92076000000.0,25769000000.0,-3285000000.0,-14433000000.0,-2306000000.0,-586000000.0,-18572000000.0,-13407000000.0,-22764000000.0,
2018-12-31,-22202000000.0,-1625000000.0,-37439000000.0,32245000000.0,6228000000.0,-6231000000.0,45351000000.0,27757000000.0,-2565000000.0,61533000000.0,18390000000.0,504000000.0,-14110000000.0,1220000000.0,-9176000000.0,-12596000000.0,-30120000000.0,-18399000000.0,689000000.0
2017-12-31,4695000000.0,5551000000.0,-100680000000.0,16121000000.0,-11434000000.0,7866000000.0,37123000000.0,-33955000000.0,-1106000000.0,79265000000.0,29447000000.0,-3526000000.0,-12828000000.0,-4850000000.0,-13655000000.0,-14727000000.0,-19865000000.0,-20727000000.0,689000000.0
