,Investments,Change To Liabilities,Total Cashflows From Investing Activities,Net Borrowings,Total Cash From Financing Activities,Change To Operating Activities,Net Income,Change In Cash,Effect Of Exchange Rate,Total Cash From Operating Activities,Depreciation,Other Cashflows From Investing Activities,Dividends Paid,Change To Inventory,Change To Account Receivables,Other Cashflows From Financing Activities,Change To Netincome,Capital Expenditures,Repurchase Of Stock
2020-03-31,-115730000000.0,-22048000000.0,-499670000000.0,443699000000.0,373542000000.0,-101032000000.0,30926000000.0,-21030000000.0,-914000000.0,106012000000.0,131741000000.0,-60873000000.0,-35970000000.0,-11713000000.0,-10938000000.0,-34187000000.0,-10478000000.0,-120449000000.0,
2019-03-31,-6706000000.0,-18673000000.0,-180837000000.0,-6776000000.0,-60866000000.0,42282000000.0,117992000000.0,-30251000000.0,3309000000.0,208143000000.0,112495000000.0,23000000.0,-37606000000.0,-35613000000.0,-26600000000.0,-16484000000.0,-54118000000.0,-174816000000.0,
2018-03-31,-8184000000.0,73607000000.0,-154520000000.0,-41090000000.0,-94264000000.0,9171000000.0,133768000000.0,38634000000.0,-5832000000.0,293250000000.0,107103000000.0,5907000000.0,-27797000000.0,-55626000000.0,-24617000000.0,-25377000000.0,-57199000000.0,-149207000000.0,
2017-03-31,34266000000.0,31197000000.0,-199742000000.0,35391000000.0,-8122000000.0,13089000000.0,85482000000.0,-22303000000.0,-1885000000.0,187446000000.0,110281000000.0,-5774000000.0,-21258000000.0,2449000000.0,-32164000000.0,-22204000000.0,-82597000000.0,-131755000000.0,-51000000.0
