,Investments,Change To Liabilities,Total Cashflows From Investing Activities,Total Cash From Financing Activities,Change To Operating Activities,Net Income,Change In Cash,Repurchase Of Stock,Effect Of Exchange Rate,Total Cash From Operating Activities,Depreciation,Other Cashflows From Investing Activities,Dividends Paid,Change To Inventory,Change To Account Receivables,Change To Netincome,Capital Expenditures,Other Cashflows From Financing Activities,Net Borrowings
2021-02-20,-105667000000.0,5412000000.0,-111324000000.0,-7362000000.0,3701000000.0,26163000000.0,-72601000000.0,-11000000.0,31000000.0,46234000000.0,5471000000.0,2517000000.0,-7351000000.0,1036000000.0,-652000000.0,-7180000000.0,-8280000000.0,,
2020-02-20,14832000000.0,67000000.0,13658000000.0,-6631000000.0,3331000000.0,13125000000.0,29827000000.0,-13000000.0,-2000000.0,22803000000.0,5374000000.0,2361000000.0,-6617000000.0,-1085000000.0,-1285000000.0,-4392000000.0,-3568000000.0,-1000000.0,
2019-02-20,-7146000000.0,-1598000000.0,-15801000000.0,-9128000000.0,-200000000.0,15996000000.0,-9588000000.0,-18000000.0,-86000000.0,15428000000.0,5719000000.0,1788000000.0,-9001000000.0,-2863000000.0,-551000000.0,-9499000000.0,-10440000000.0,-1000000.0,-108000000.0
2018-02-20,-61652000000.0,1575000000.0,-68607000000.0,-9100000000.0,-726000000.0,29717000000.0,-47877000000.0,-24000000.0,35000000.0,29795000000.0,5695000000.0,1532000000.0,-9076000000.0,-2026000000.0,-751000000.0,-16380000000.0,-8515000000.0,-1000000.0,-108000000.0
