,Investments,Change To Liabilities,Total Cashflows From Investing Activities,Net Borrowings,Total Cash From Financing Activities,Change To Operating Activities,Net Income,Change In Cash,Effect Of Exchange Rate,Total Cash From Operating Activities,Depreciation,Other Cashflows From Investing Activities,Dividends Paid,Change To Inventory,Change To Account Receivables,Other Cashflows From Financing Activities,Change To Netincome,Capital Expenditures
2020-12-31,921000000.0,256000000.0,-14016000000.0,6736000000.0,843000000.0,-2590000000.0,13188000000.0,18091000000.0,-988000000.0,32253000000.0,9618000000.0,48000000.0,-4637000000.0,2049000000.0,7999000000.0,-1256000000.0,-3900000000.0,-14616000000.0
2019-12-31,489000000.0,-1760000000.0,-12367000000.0,26392000000.0,19215000000.0,3391000000.0,15481000000.0,33227000000.0,-259000000.0,26638000000.0,8794000000.0,-241000000.0,-6110000000.0,2852000000.0,-935000000.0,-1067000000.0,-6438000000.0,-11762000000.0
2018-12-31,-692000000.0,-596000000.0,-11029000000.0,2251000000.0,-3240000000.0,4991000000.0,22313000000.0,4503000000.0,-762000000.0,19536000000.0,7240000000.0,-1463000000.0,-5309000000.0,-10368000000.0,-862000000.0,-182000000.0,-9786000000.0,-9667000000.0
2017-12-31,-989000000.0,2588000000.0,-13167000000.0,-4878000000.0,-9044000000.0,2808000000.0,16281000000.0,6393000000.0,317000000.0,28287000000.0,7533000000.0,-391000000.0,-4002000000.0,-3633000000.0,-4514000000.0,-164000000.0,-880000000.0,-11664000000.0
