,Investments,Change To Liabilities,Total Cashflows From Investing Activities,Total Cash From Financing Activities,Change To Operating Activities,Net Income,Change In Cash,Repurchase Of Stock,Effect Of Exchange Rate,Total Cash From Operating Activities,Depreciation,Other Cashflows From Investing Activities,Dividends Paid,Other Cashflows From Financing Activities,Change To Netincome,Capital Expenditures
2020-03-31,-1358000000.0,0.0,-10370000000.0,91485000000.0,-292950000000.0,11916000000.0,-184709000000.0,-412000000.0,-9000000.0,-265813000000.0,4452000000.0,-5490000000.0,-4328000000.0,96225000000.0,4802000000.0,-3572000000.0
2019-03-31,231324000000.0,0.0,235740000000.0,163194000000.0,-464163000000.0,16199000000.0,-11068000000.0,-2000000000.0,5000000.0,-410007000000.0,4331000000.0,7296000000.0,-3793000000.0,168987000000.0,26952000000.0,-2929000000.0
2018-03-31,85489000000.0,0.0,73151000000.0,211960000000.0,-391843000000.0,21258000000.0,-34717000000.0,-2601000000.0,-6000000.0,-319822000000.0,4376000000.0,-10534000000.0,-3832000000.0,218393000000.0,36403000000.0,-1633000000.0
2017-03-31,350268000000.0,0.0,351353000000.0,218768000000.0,-306486000000.0,20323000000.0,313722000000.0,-4200000000.0,-3000000.0,-256394000000.0,3607000000.0,4680000000.0,-3878000000.0,226846000000.0,15752000000.0,-2193000000.0
