,Investments,Change To Liabilities,Total Cashflows From Investing Activities,Net Borrowings,Total Cash From Financing Activities,Change To Operating Activities,Net Income,Change In Cash,Repurchase Of Stock,Effect Of Exchange Rate,Total Cash From Operating Activities,Depreciation,Other Cashflows From Investing Activities,Dividends Paid,Change To Account Receivables,Other Cashflows From Financing Activities,Change To Netincome,Capital Expenditures
2020-12-31,-10587000000.0,-517000000.0,-15995000000.0,58320000000.0,37518000000.0,8976000000.0,10284000000.0,58961000000.0,-9363000000.0,-838000000.0,38277000000.0,8658000000.0,3073000000.0,-2803000000.0,-1448000000.0,-8636000000.0,-7318000000.0,-3506000000.0
2019-12-31,-2976000000.0,-14132000000.0,-21617000000.0,43731000000.0,30323000000.0,2873000000.0,8337000000.0,16064000000.0,-3110000000.0,-145000000.0,7502000000.0,7252000000.0,-5608000000.0,-3545000000.0,590000000.0,-6753000000.0,-11702000000.0,-7122000000.0
2018-12-31,1009000000.0,5677000000.0,-29899000000.0,-4877000000.0,43960000000.0,24601000000.0,-20707000000.0,25832000000.0,-3110000000.0,-1354000000.0,13127000000.0,8953000000.0,-157000000.0,-2730000000.0,-2808000000.0,51567000000.0,-6321000000.0,-24464000000.0
2017-12-31,-1313000000.0,-4606000000.0,-13212000000.0,41135000000.0,35074000000.0,-5724000000.0,8030000000.0,27691000000.0,-1182000000.0,346000000.0,5481000000.0,5881000000.0,-953000000.0,-2665000000.0,-630000000.0,-2214000000.0,-5564000000.0,-2770000000.0
