,Investments,Change To Liabilities,Total Cashflows From Investing Activities,Total Cash From Financing Activities,Change To Operating Activities,Issuance Of Stock,Net Income,Change In Cash,Repurchase Of Stock,Effect Of Exchange Rate,Total Cash From Operating Activities,Depreciation,Dividends Paid,Change To Inventory,Change To Account Receivables,Other Cashflows From Financing Activities,Change To Netincome,Capital Expenditures,Net Borrowings,Other Cashflows From Investing Activities
2020-12-31,1020000000.0,2430000000.0,-5777000000.0,-21142000000.0,8507000000.0,2959000000.0,26904000000.0,26035000000.0,-4999000000.0,-1355000000.0,54310000000.0,22677000000.0,-21679000000.0,568000000.0,-2415000000.0,2577000000.0,-17311000000.0,-1559000000.0,,
2019-12-31,7839000000.0,-49000000.0,-1470000000.0,-25958000000.0,9169000000.0,1775000000.0,27946000000.0,16499000000.0,-5335000000.0,-1180000000.0,45109000000.0,15817000000.0,-21992000000.0,-479000000.0,-6290000000.0,-189000000.0,-12198000000.0,-4034000000.0,-217000000.0,1383000000.0
2018-12-31,13251000000.0,1557000000.0,820000000.0,-13223000000.0,6516000000.0,6606000000.0,28314000000.0,33187000000.0,-5335000000.0,-4369000000.0,49959000000.0,15914000000.0,-19788000000.0,-763000000.0,-256000000.0,-41000000.0,-10199000000.0,-3560000000.0,-217000000.0,-3000000.0
2017-12-31,-19530000000.0,-285000000.0,-33817000000.0,-16908000000.0,12032000000.0,1773000000.0,25691000000.0,-3935000000.0,-5335000000.0,-125000000.0,46915000000.0,13950000000.0,-18681000000.0,-1259000000.0,-3901000000.0,-41000000.0,-10718000000.0,-4599000000.0,-217000000.0,-2059000000.0
