,Change To Liabilities,Total Cashflows From Investing Activities,Total Cash From Financing Activities,Change To Operating Activities,Net Income,Change In Cash,Total Cash From Operating Activities,Depreciation,Other Cashflows From Investing Activities,Dividends Paid,Change To Inventory,Change To Account Receivables,Change To Netincome,Capital Expenditures,Repurchase Of Stock,Other Cashflows From Financing Activities
2020-03-31,6364000000.0,-13950000000.0,-7863000000.0,-1636000000.0,23692000000.0,10460000000.0,32274000000.0,8359000000.0,-2296000000.0,-7863000000.0,-1483000000.0,-5133000000.0,-8845000000.0,-10248000000.0,,
2019-03-31,-307000000.0,-13622000000.0,-7713000000.0,2508000000.0,23933000000.0,9756000000.0,31091000000.0,8242000000.0,-1742000000.0,-7713000000.0,-2058000000.0,-29000000.0,-12336000000.0,-10838000000.0,,
2018-03-31,3262000000.0,-15245000000.0,-6372000000.0,3009000000.0,24829000000.0,14530000000.0,36148000000.0,7788000000.0,-1949000000.0,-6369000000.0,-1968000000.0,-2109000000.0,-10432000000.0,-11939000000.0,-3000000.0,
2017-03-31,1472000000.0,-14353000000.0,-20411000000.0,872000000.0,23312000000.0,-6538000000.0,28226000000.0,6972000000.0,-1644000000.0,-5350000000.0,-2896000000.0,-709000000.0,-11909000000.0,-10944000000.0,-14940000000.0,-121000000.0
