,Investments,Change To Liabilities,Total Cashflows From Investing Activities,Total Cash From Financing Activities,Change To Operating Activities,Net Income,Change In Cash,Repurchase Of Stock,Effect Of Exchange Rate,Total Cash From Operating Activities,Depreciation,Other Cashflows From Investing Activities,Dividends Paid,Other Cashflows From Financing Activities,Change To Netincome,Capital Expenditures
2020-03-31,9749000000.0,0.0,-5801000000.0,-10924000000.0,-40403000000.0,26162000000.0,67796000000.0,-3857000000.0,-11000000.0,84534000000.0,14634000000.0,-1000000.0,-13635000000.0,6568000000.0,70523000000.0,-4547000000.0
2019-03-31,-23682000000.0,0.0,-34882000000.0,44021000000.0,40102000000.0,13236000000.0,70281000000.0,-3857000000.0,-60000000.0,61204000000.0,18016000000.0,-1000000.0,-12215000000.0,56236000000.0,-22658000000.0,-3121000000.0
2018-03-31,15746000000.0,0.0,-3649000000.0,39166000000.0,-27831000000.0,25301000000.0,15780000000.0,-380000000.0,-306000000.0,-19429000000.0,18092000000.0,-1000000.0,-11316000000.0,50862000000.0,-47853000000.0,-8468000000.0
2017-03-31,-12849000000.0,0.0,-28818000000.0,14083000000.0,26309000000.0,25114000000.0,48750000000.0,-380000000.0,-103000000.0,63589000000.0,19726000000.0,-1000000.0,-10419000000.0,24502000000.0,-18988000000.0,-6712000000.0
