,Investments,Change To Liabilities,Total Cashflows From Investing Activities,Net Borrowings,Total Cash From Financing Activities,Change To Operating Activities,Net Income,Change In Cash,Effect Of Exchange Rate,Total Cash From Operating Activities,Depreciation,Other Cashflows From Investing Activities,Change To Inventory,Change To Account Receivables,Other Cashflows From Financing Activities,Change To Netincome,Capital Expenditures
2020-12-31,-138000000.0,10192000000.0,-40163000000.0,-98135000000.0,-104470000000.0,-7879000000.0,45626000000.0,73318000000.0,-5938000000.0,223889000000.0,86671000000.0,-2799000000.0,79000000.0,1228000000.0,-6335000000.0,33116000000.0,-22261000000.0
2019-12-31,886000000.0,-36000000.0,-742162000000.0,513220000000.0,500466000000.0,-15204000000.0,-6317000000.0,-42352000000.0,-2616000000.0,201960000000.0,99791000000.0,-1604000000.0,44549000000.0,9882000000.0,-12754000000.0,21060000000.0,-38284000000.0
2018-12-31,3787000000.0,-27999000000.0,-80872000000.0,-37445000000.0,-39251000000.0,-1290000000.0,50989000000.0,49275000000.0,-2910000000.0,172308000000.0,89264000000.0,-33000000.0,6956000000.0,22336000000.0,-1806000000.0,8573000000.0,-64513000000.0
2017-12-31,695000000.0,8903000000.0,-432635000000.0,63243000000.0,63243000000.0,-16108000000.0,77196000000.0,-214742000000.0,-9572000000.0,164222000000.0,93940000000.0,-4158000000.0,-10528000000.0,-9839000000.0,-1806000000.0,5851000000.0,-114747000000.0
