,Investments,Change To Liabilities,Total Cashflows From Investing Activities,Net Borrowings,Total Cash From Financing Activities,Change To Operating Activities,Net Income,Change In Cash,Repurchase Of Stock,Effect Of Exchange Rate,Total Cash From Operating Activities,Depreciation,Other Cashflows From Investing Activities,Dividends Paid,Change To Inventory,Change To Account Receivables,Other Cashflows From Financing Activities,Change To Netincome,Capital Expenditures,Issuance Of Stock
2020-03-31,-8254000000.0,-255686000000.0,-708687000000.0,-2325000000.0,-155494000000.0,688380000000.0,-671216000000.0,283923000000.0,-2000000.0,-43954000000.0,1185854000000.0,385797000000.0,84694000000.0,-150652000000.0,-118578000000.0,141882000000.0,-2515000000.0,533476000000.0,-1579069000000.0,
2019-03-31,-30475000000.0,-43721000000.0,-1133547000000.0,103333000000.0,-127140000000.0,90634000000.0,319138000000.0,153058000000.0,-5000000.0,-38258000000.0,1450888000000.0,386855000000.0,-144243000000.0,-215101000000.0,13098000000.0,228010000000.0,-15367000000.0,-56930000000.0,-1721271000000.0,
2018-03-31,-12171000000.0,108330000000.0,-1147719000000.0,263030000000.0,36810000000.0,-518284000000.0,746892000000.0,-35124000000.0,-6000000.0,4535000000.0,1071250000000.0,389484000000.0,8724000000.0,-197541000000.0,9612000000.0,73149000000.0,-30030000000.0,-238737000000.0,-1829358000000.0,1357000000.0
2017-03-31,-272347000000.0,296060000000.0,-1377626000000.0,879379000000.0,320610000000.0,-742935000000.0,663499000000.0,249029000000.0,-277419000000.0,-34875000000.0,1335473000000.0,393616000000.0,-35000000.0,-182803000000.0,-32660000000.0,-42584000000.0,-98675000000.0,351218000000.0,-1797585000000.0,128000000.0
