,Investments,Change To Liabilities,Total Cashflows From Investing Activities,Net Borrowings,Total Cash From Financing Activities,Change To Operating Activities,Issuance Of Stock,Net Income,Change In Cash,Repurchase Of Stock,Effect Of Exchange Rate,Total Cash From Operating Activities,Depreciation,Other Cashflows From Investing Activities,Dividends Paid,Other Cashflows From Financing Activities,Change To Netincome,Capital Expenditures
2020-03-31,-142272000000.0,0.0,-165757000000.0,-33246000000.0,256095000000.0,-141370000000.0,392000000.0,25391000000.0,-70774000000.0,-338000000.0,-2000000.0,-161109000000.0,6495000000.0,-17894000000.0,-5869000000.0,295156000000.0,-62687000000.0,-2898000000.0
2019-03-31,336005000000.0,0.0,339732000000.0,-9034000000.0,-158635000000.0,-108338000000.0,396000000.0,23148000000.0,58213000000.0,-20113000000.0,6000000.0,-122890000000.0,6825000000.0,9675000000.0,-5231000000.0,-124653000000.0,-54818000000.0,-3106000000.0
2018-03-31,169667000000.0,0.0,163919000000.0,-9034000000.0,122596000000.0,-237636000000.0,1132000000.0,32916000000.0,19779000000.0,-29000000.0,-8000000.0,-266727000000.0,5284000000.0,5153000000.0,-4460000000.0,125953000000.0,-82297000000.0,-6497000000.0
2017-03-31,261645000000.0,0.0,254033000000.0,-9034000000.0,-283756000000.0,-247297000000.0,3690000000.0,31586000000.0,-221141000000.0,-2732000000.0,-1000000.0,-191416000000.0,8335000000.0,-905000000.0,-4419000000.0,-280295000000.0,648000000.0,-4575000000.0
