,Investments,Change To Liabilities,Total Cashflows From Investing Activities,Total Cash From Financing Activities,Change To Operating Activities,Issuance Of Stock,Net Income,Change In Cash,Effect Of Exchange Rate,Total Cash From Operating Activities,Depreciation,Other Cashflows From Investing Activities,Dividends Paid,Change To Inventory,Change To Account Receivables,Other Cashflows From Financing Activities,Change To Netincome,Capital Expenditures
2020-03-31,1696000000.0,-456000000.0,-16659000000.0,-6428000000.0,2059000000.0,416000000.0,16504000000.0,2686000000.0,-2443000000.0,28218000000.0,13070000000.0,-388000000.0,-5247000000.0,-5151000000.0,2486000000.0,-1597000000.0,-6571000000.0,-18018000000.0
2019-03-31,4980000000.0,-5332000000.0,-16955000000.0,-5991000000.0,-1393000000.0,50000000.0,24034000000.0,-9959000000.0,-60000000.0,13048000000.0,8840000000.0,-567000000.0,-6032000000.0,-10345000000.0,-1529000000.0,-9000000.0,-9008000000.0,-21414000000.0
2018-03-31,1436000000.0,5123000000.0,-14887000000.0,-5725000000.0,593000000.0,54000000.0,25601000000.0,3872000000.0,161000000.0,24324000000.0,8187000000.0,-942000000.0,-5768000000.0,-8153000000.0,-7638000000.0,-11000000.0,-8304000000.0,-15421000000.0
2017-03-31,-1435000000.0,4943000000.0,-6056000000.0,-4008000000.0,2874000000.0,291000000.0,18387000000.0,8636000000.0,-25000000.0,19508000000.0,7608000000.0,2573000000.0,-4299000000.0,-4453000000.0,-8785000000.0,-11000000.0,-8750000000.0,-7219000000.0
