,Investments,Change To Liabilities,Total Cashflows From Investing Activities,Net Borrowings,Total Cash From Financing Activities,Change To Operating Activities,Net Income,Change In Cash,Effect Of Exchange Rate,Total Cash From Operating Activities,Depreciation,Other Cashflows From Investing Activities,Dividends Paid,Change To Inventory,Change To Account Receivables,Other Cashflows From Financing Activities,Change To Netincome,Capital Expenditures
2020-03-31,4268000000.0,6586000000.0,-30244000000.0,82740000000.0,60096000000.0,5703000000.0,53752000000.0,47224000000.0,-20000000.0,17392000000.0,8805000000.0,-156000000.0,-17876000000.0,-52526000000.0,-4507000000.0,-4768000000.0,-25435000000.0,-19673000000.0
2019-03-31,5005000000.0,8318000000.0,-20043000000.0,39340000000.0,21807000000.0,3329000000.0,65469000000.0,48342000000.0,-20000000.0,46578000000.0,3162000000.0,-168000000.0,-17586000000.0,-35488000000.0,199000000.0,53000000.0,-27065000000.0,-22033000000.0
2018-03-31,-8155000000.0,3208000000.0,-20570000000.0,49075000000.0,30992000000.0,2090000000.0,69542000000.0,28022000000.0,1000000.0,17599000000.0,2707000000.0,-154000000.0,-17594000000.0,-54846000000.0,1993000000.0,-489000000.0,-37869000000.0,-7852000000.0
2017-03-31,-4381000000.0,0.0,-13327000000.0,87309000000.0,73956000000.0,-437000000.0,76741000000.0,30994000000.0,-17000000.0,-29616000000.0,2550000000.0,-245000000.0,-13259000000.0,-97917000000.0,-10620000000.0,-94000000.0,-34070000000.0,-9161000000.0
