,Change To Liabilities,Total Cashflows From Investing Activities,Net Borrowings,Total Cash From Financing Activities,Change To Operating Activities,Net Income,Change In Cash,Repurchase Of Stock,Effect Of Exchange Rate,Total Cash From Operating Activities,Depreciation,Other Cashflows From Investing Activities,Dividends Paid,Change To Inventory,Change To Account Receivables,Other Cashflows From Financing Activities,Change To Netincome,Capital Expenditures
2020-12-31,-605000000.0,-230248000000.0,157793000000.0,128443000000.0,24574000000.0,32715000000.0,122340000000.0,-13000000.0,-1246000000.0,225392000000.0,143716000000.0,-16164000000.0,-26591000000.0,11691000000.0,-3328000000.0,-2746000000.0,-7777000000.0,-191469000000.0
2019-12-31,-4518000000.0,-182636000000.0,11330000000.0,-17284000000.0,-7086000000.0,44434000000.0,-9719000000.0,-15000000.0,-1704000000.0,191906000000.0,143361000000.0,48035000000.0,-26582000000.0,-9079000000.0,-2979000000.0,-2017000000.0,-4006000000.0,-197928000000.0
2018-12-31,2752000000.0,-194450000000.0,54395000000.0,8657000000.0,1370000000.0,89593000000.0,-2913000000.0,-21521000000.0,-6407000000.0,189287000000.0,121668000000.0,14673000000.0,-24858000000.0,-24731000000.0,-4972000000.0,641000000.0,-35204000000.0,-211370000000.0
2017-12-31,11528000000.0,-209560000000.0,31412000000.0,-18720000000.0,-15740000000.0,69225000000.0,-20907000000.0,-25069000000.0,3868000000.0,203504000000.0,128226000000.0,19691000000.0,-21864000000.0,-22929000000.0,-3566000000.0,-3199000000.0,-8439000000.0,-157227000000.0
