,Investments,Change To Liabilities,Total Cashflows From Investing Activities,Net Borrowings,Total Cash From Financing Activities,Change To Operating Activities,Net Income,Change In Cash,Repurchase Of Stock,Effect Of Exchange Rate,Total Cash From Operating Activities,Depreciation,Other Cashflows From Investing Activities,Dividends Paid,Change To Account Receivables,Other Cashflows From Financing Activities,Change To Netincome,Capital Expenditures
2020-03-31,1933000000.0,-37000000.0,-19867000000.0,6095000000.0,-584000000.0,-380000000.0,16721000000.0,5588000000.0,-1475000000.0,-102000000.0,25901000000.0,10413000000.0,179000000.0,-4818000000.0,1091000000.0,-386000000.0,-9587000000.0,-22440000000.0
2019-03-31,2132000000.0,200000000.0,-16892000000.0,-3876000000.0,-11659000000.0,1536000000.0,14768000000.0,-3071000000.0,-3066000000.0,143000000.0,25337000000.0,9712000000.0,13000000.0,-4506000000.0,-492000000.0,-211000000.0,-7349000000.0,-18010000000.0
2018-03-31,-3332000000.0,1133000000.0,-22884000000.0,-3554000000.0,-8330000000.0,655000000.0,14545000000.0,-6725000000.0,-529000000.0,-31000000.0,24309000000.0,9461000000.0,15000000.0,-4257000000.0,-996000000.0,10000000.0,-7203000000.0,-19273000000.0
2017-03-31,626000000.0,526000000.0,-20984000000.0,10928000000.0,6987000000.0,1790000000.0,13468000000.0,8540000000.0,-161000000.0,-220000000.0,22757000000.0,9351000000.0,-1000000.0,-3786000000.0,-1381000000.0,6000000.0,-7556000000.0,-21675000000.0
