,Investments,Change To Liabilities,Total Cashflows From Investing Activities,Total Cash From Financing Activities,Change To Operating Activities,Net Income,Change In Cash,Repurchase Of Stock,Effect Of Exchange Rate,Total Cash From Operating Activities,Depreciation,Other Cashflows From Investing Activities,Dividends Paid,Other Cashflows From Financing Activities,Change To Netincome,Capital Expenditures,Issuance Of Stock,Net Borrowings
2020-03-31,-81411000000.0,0.0,-102947000000.0,346950000000.0,-217946000000.0,48037000000.0,-103925000000.0,-10001000000.0,105000000.0,-348033000000.0,8034000000.0,-499000000.0,-12033000000.0,368984000000.0,19147000000.0,-15147000000.0,,
2019-03-31,77174000000.0,0.0,60524000000.0,352553000000.0,-111026000000.0,50478000000.0,285079000000.0,-15001000000.0,-3000000.0,-127995000000.0,8724000000.0,2168000000.0,-12060000000.0,379614000000.0,-9336000000.0,-13869000000.0,,
2018-03-31,221882000000.0,0.0,210197000000.0,457637000000.0,-634862000000.0,53796000000.0,83407000000.0,-14058000000.0,16000000.0,-584442000000.0,8605000000.0,-1409000000.0,-11900000000.0,483594000000.0,-19732000000.0,-4632000000.0,1000000.0,
2017-03-31,71228000000.0,0.0,72591000000.0,481548000000.0,-220755000000.0,52730000000.0,417061000000.0,-15027000000.0,-43000000.0,-137034000000.0,8020000000.0,8306000000.0,-11783000000.0,498355000000.0,-29800000000.0,-3133000000.0,3000000.0,10000000000.0
