,Investments,Change To Liabilities,Total Cashflows From Investing Activities,Net Borrowings,Total Cash From Financing Activities,Change To Operating Activities,Issuance Of Stock,Net Income,Change In Cash,Repurchase Of Stock,Effect Of Exchange Rate,Total Cash From Operating Activities,Depreciation,Other Cashflows From Investing Activities,Dividends Paid,Other Cashflows From Financing Activities,Change To Netincome,Capital Expenditures
2020-03-31,-17855000000.0,4920000000.0,-315177000000.0,448378000000.0,523062000000.0,-106983000000.0,93796000000.0,56303000000.0,160368000000.0,-2000000.0,3148000000.0,-50664000000.0,167146000000.0,-3225000000.0,-13731000000.0,-5379000000.0,-210663000000.0,-7091000000.0
2019-03-31,-44731000000.0,-3388000000.0,-123947000000.0,180906000000.0,189035000000.0,-112978000000.0,93796000000.0,52271000000.0,3277000000.0,-3000000.0,-2655000000.0,-59154000000.0,130679000000.0,-6811000000.0,-12989000000.0,21121000000.0,-159894000000.0,-7640000000.0
2018-03-31,-89746000000.0,31483000000.0,-107908000000.0,86755000000.0,81649000000.0,-74145000000.0,93796000000.0,51324000000.0,719000000.0,-8000000.0,473000000.0,26428000000.0,120964000000.0,-9742000000.0,-11085000000.0,5987000000.0,-131340000000.0,-5845000000.0
2017-03-31,-11520000000.0,12804000000.0,-30071000000.0,55543000000.0,27500000000.0,-19303000000.0,93796000000.0,43648000000.0,-6031000000.0,-2000000.0,-2790000000.0,-670000000.0,108271000000.0,-1334000000.0,-9710000000.0,-18331000000.0,-176183000000.0,-2325000000.0
