,Investments,Change To Liabilities,Total Cashflows From Investing Activities,Net Borrowings,Total Cash From Financing Activities,Change To Operating Activities,Net Income,Change In Cash,Effect Of Exchange Rate,Total Cash From Operating Activities,Depreciation,Other Cashflows From Investing Activities,Dividends Paid,Change To Inventory,Change To Account Receivables,Other Cashflows From Financing Activities,Change To Netincome,Capital Expenditures
2020-03-31,154000000.0,-9366000000.0,-27955000000.0,9784000000.0,-14916000000.0,1904000000.0,49566000000.0,37270000000.0,-7606000000.0,87748000000.0,40197000000.0,-3197000000.0,-15607000000.0,6053000000.0,1658000000.0,-9093000000.0,-19744000000.0,-16872000000.0
2019-03-31,3390000000.0,-6879000000.0,-22624000000.0,-21569000000.0,-39040000000.0,-1136000000.0,53902000000.0,9767000000.0,-1847000000.0,73280000000.0,33674000000.0,-934000000.0,-15603000000.0,-12179000000.0,2133000000.0,-1868000000.0,-14607000000.0,-17673000000.0
2018-03-31,-4355000000.0,2756000000.0,-37090000000.0,-19628000000.0,-34551000000.0,4764000000.0,50020000000.0,9351000000.0,-823000000.0,81817000000.0,34141000000.0,-1429000000.0,-12480000000.0,-4129000000.0,-8756000000.0,-2443000000.0,-16628000000.0,-22727000000.0
2017-03-31,6112000000.0,5748000000.0,-23271000000.0,-18673000000.0,-30389000000.0,4942000000.0,47242000000.0,44645000000.0,-849000000.0,99155000000.0,33811000000.0,-974000000.0,-9359000000.0,9609000000.0,-2962000000.0,-2357000000.0,-13250000000.0,-20497000000.0
