,Investments,Change To Liabilities,Total Cashflows From Investing Activities,Net Borrowings,Total Cash From Financing Activities,Change To Operating Activities,Issuance Of Stock,Net Income,Change In Cash,Repurchase Of Stock,Effect Of Exchange Rate,Total Cash From Operating Activities,Depreciation,Other Cashflows From Investing Activities,Dividends Paid,Change To Inventory,Change To Account Receivables,Other Cashflows From Financing Activities,Change To Netincome,Capital Expenditures
2020-03-31,2267000000.0,408000000.0,-17085000000.0,17948000000.0,4227000000.0,755000000.0,4279000000.0,15603000000.0,4541000000.0,-8088000000.0,-18000000.0,17299000000.0,8460000000.0,-351000000.0,-8749000000.0,-3517000000.0,-8581000000.0,-1163000000.0,-7080000000.0,-12693000000.0
2019-03-31,-231000000.0,9240000000.0,-17609000000.0,2916000000.0,-4924000000.0,-15072000000.0,1024000000.0,40219000000.0,11126000000.0,-3015000000.0,-113000000.0,12770000000.0,5926000000.0,-19000000.0,-5425000000.0,701000000.0,-28202000000.0,-424000000.0,-11440000000.0,-2757000000.0
2018-03-31,-428000000.0,-1802000000.0,-4538000000.0,-1193000000.0,-5137000000.0,3194000000.0,823000000.0,17993000000.0,15101000000.0,-3000000.0,-23000000.0,24800000000.0,3667000000.0,-35000000.0,-4581000000.0,-3447000000.0,3892000000.0,-183000000.0,-7152000000.0,-3214000000.0
2017-03-31,1287000000.0,-1014000000.0,-6027000000.0,-3542000000.0,-10230000000.0,2786000000.0,886000000.0,13789000000.0,-796000000.0,-3002000000.0,-42000000.0,15504000000.0,4180000000.0,72000000.0,-4329000000.0,-2659000000.0,-3127000000.0,-243000000.0,-5383000000.0,-5761000000.0
