,Change To Liabilities,Total Cashflows From Investing Activities,Net Borrowings,Total Cash From Financing Activities,Change To Operating Activities,Net Income,Change In Cash,Repurchase Of Stock,Effect Of Exchange Rate,Total Cash From Operating Activities,Depreciation,Other Cashflows From Investing Activities,Dividends Paid,Change To Account Receivables,Other Cashflows From Financing Activities,Change To Netincome,Capital Expenditures,Investments
2020-03-31,9776000000.0,-88993000000.0,-24957000000.0,-192721000000.0,14283000000.0,179880000000.0,18342000000.0,-81346000000.0,-3269000000.0,303325000000.0,115762000000.0,1611000000.0,-49268000000.0,5372000000.0,-37150000000.0,-68017000000.0,-34657000000.0,
2019-03-31,7742000000.0,-204619000000.0,-24957000000.0,-68521000000.0,6258000000.0,174280000000.0,13088000000.0,-1323000000.0,9270000000.0,276960000000.0,71122000000.0,-10048000000.0,-42616000000.0,-14311000000.0,375000000.0,-33665000000.0,-28480000000.0,
2018-03-31,27453000000.0,-65937000000.0,-24183000000.0,-83169000000.0,7268000000.0,151667000000.0,34625000000.0,-1081000000.0,-10384000000.0,194117000000.0,61363000000.0,-4102000000.0,-54552000000.0,-26765000000.0,-3353000000.0,-74430000000.0,-19997000000.0,826000000.0
2017-03-31,13629000000.0,-214257000000.0,172025000000.0,110557000000.0,14398000000.0,85422000000.0,35354000000.0,-31242000000.0,-3107000000.0,142161000000.0,103628000000.0,44000000.0,-28513000000.0,-38513000000.0,-1713000000.0,-100241000000.0,-18537000000.0,8050000000.0
