,Investments,Change To Liabilities,Total Cashflows From Investing Activities,Total Cash From Financing Activities,Change To Operating Activities,Net Income,Change In Cash,Repurchase Of Stock,Effect Of Exchange Rate,Total Cash From Operating Activities,Depreciation,Other Cashflows From Investing Activities,Dividends Paid,Change To Inventory,Change To Account Receivables,Other Cashflows From Financing Activities,Change To Netincome,Capital Expenditures
2020-12-31,1819000000.0,-4000000.0,-161000000.0,-3416000000.0,731000000.0,4204000000.0,2931000000.0,-1590000000.0,-38000000.0,6548000000.0,1609000000.0,-5000000.0,-1825000000.0,-164000000.0,-28000000.0,-1000000.0,-1486000000.0,-1388000000.0
2019-12-31,-1000000000.0,-77000000.0,-2777000000.0,-1869000000.0,-381000000.0,4517000000.0,-165000000.0,-4000000.0,-5000000.0,4486000000.0,1493000000.0,-128000000.0,-1865000000.0,-278000000.0,-300000000.0,-1000000.0,-2188000000.0,-1098000000.0
2018-12-31,232000000.0,-272000000.0,-1202000000.0,-1639000000.0,-381000000.0,4495000000.0,3613000000.0,-4000000.0,-32000000.0,6487000000.0,1380000000.0,-98000000.0,-1635000000.0,-813000000.0,1191000000.0,-1000000.0,-1112000000.0,-941000000.0
2017-12-31,-407076957.0,368307723.0,-1771384763.0,-1215692409.0,755076986.0,3584000233.0,1098461630.0,-8307693.0,74769237.0,4011692642.0,1179692406.0,-221538480.0,-1207384716.0,-23076925.0,-1137230864.0,-1000000.0,-1946769393.0,-1063384704.0
