,Investments,Change To Liabilities,Total Cashflows From Investing Activities,Net Borrowings,Total Cash From Financing Activities,Change To Operating Activities,Issuance Of Stock,Net Income,Change In Cash,Effect Of Exchange Rate,Total Cash From Operating Activities,Depreciation,Other Cashflows From Investing Activities,Dividends Paid,Change To Inventory,Change To Account Receivables,Other Cashflows From Financing Activities,Change To Netincome,Capital Expenditures,Repurchase Of Stock
2020-03-31,279000000.0,-409000000.0,-7656000000.0,-1785000000.0,-3438000000.0,22000000.0,25000000.0,4060000000.0,-2494000000.0,-111000000.0,8712000000.0,5421000000.0,-79000000.0,-986000000.0,-548000000.0,-98000000.0,-692000000.0,-1941000000.0,-5592000000.0,
2019-03-31,239000000.0,236000000.0,-4951000000.0,-5229000000.0,1825000000.0,-496000000.0,8014000000.0,3576000000.0,3801000000.0,-95000000.0,7023000000.0,4640000000.0,-90000000.0,-878000000.0,-592000000.0,-760000000.0,-82000000.0,-1732000000.0,-4639000000.0,
2018-03-31,551000000.0,-58000000.0,900000000.0,-3533000000.0,-4196000000.0,873000000.0,69000000.0,2657000000.0,4728000000.0,167000000.0,7857000000.0,5007000000.0,-140000000.0,-665000000.0,-1131000000.0,-64000000.0,-67000000.0,-1071000000.0,-4182000000.0,
2017-03-31,241000000.0,479000000.0,-6065000000.0,3041000000.0,-271000000.0,-842000000.0,207000000.0,2543000000.0,-1301000000.0,-162000000.0,5197000000.0,4653000000.0,-100000000.0,-549000000.0,-1444000000.0,-292000000.0,-94000000.0,-1474000000.0,-2769000000.0,-2876000000.0
