,Investments,Change To Liabilities,Total Cashflows From Investing Activities,Net Borrowings,Total Cash From Financing Activities,Change To Operating Activities,Net Income,Change In Cash,Repurchase Of Stock,Effect Of Exchange Rate,Total Cash From Operating Activities,Depreciation,Other Cashflows From Investing Activities,Dividends Paid,Change To Account Receivables,Other Cashflows From Financing Activities,Change To Netincome,Capital Expenditures,Issuance Of Stock
2020-06-30,-160000000.0,1807000000.0,-1498000000.0,-1524000000.0,-14927000000.0,2758000000.0,10825000000.0,1566000000.0,-2062000000.0,-67000000.0,18059000000.0,2604000000.0,-252000000.0,-4912000000.0,-448000000.0,-6429000000.0,-4505000000.0,-635000000.0,
2019-06-30,-53000000.0,2118000000.0,-4429000000.0,-2839000000.0,-7184000000.0,-1789000000.0,9683000000.0,-421000000.0,-2062000000.0,-78000000.0,11270000000.0,777000000.0,-249000000.0,-4338000000.0,-1786000000.0,-7000000.0,-1777000000.0,-375000000.0,
2018-06-30,84000000.0,1665000000.0,-5361000000.0,-5566000000.0,2826000000.0,1408000000.0,8498000000.0,8254000000.0,-2062000000.0,-10000000.0,10798000000.0,506000000.0,-257000000.0,-3861000000.0,-1928000000.0,-6000000.0,-2016000000.0,-263000000.0,12259000000.0
2017-06-30,-2181000000.0,1278000000.0,-2864000000.0,129000000.0,-4087000000.0,823000000.0,7717000000.0,1689000000.0,-2062000000.0,6000000.0,8634000000.0,412000000.0,2000000.0,-3815000000.0,-1344000000.0,-401000000.0,-2094000000.0,-218000000.0,12259000000.0
