,Investments,Change To Liabilities,Total Cashflows From Investing Activities,Net Borrowings,Total Cash From Financing Activities,Change To Operating Activities,Net Income,Change In Cash,Effect Of Exchange Rate,Total Cash From Operating Activities,Depreciation,Other Cashflows From Investing Activities,Dividends Paid,Change To Inventory,Change To Account Receivables,Other Cashflows From Financing Activities,Change To Netincome,Capital Expenditures,Repurchase Of Stock
2020-03-31,-365000000.0,-1893000000.0,-43683000000.0,34617000000.0,21981000000.0,2652000000.0,18287000000.0,14667000000.0,-1006000000.0,37376000000.0,18700000000.0,-10643000000.0,-6539000000.0,-169000000.0,4527000000.0,-6097000000.0,-13132000000.0,-31168000000.0,
2019-03-31,12125000000.0,-1088000000.0,-51559000000.0,-3011000000.0,-11280000000.0,20657000000.0,17323000000.0,-23368000000.0,-104000000.0,38478000000.0,17761000000.0,-34346000000.0,-5966000000.0,1463000000.0,-10907000000.0,-2301000000.0,-16940000000.0,-28600000000.0,-2000000.0
2018-03-31,7896000000.0,3699000000.0,-15928000000.0,-223000000.0,-12419000000.0,72000000.0,17897000000.0,-6521000000.0,417000000.0,21408000000.0,16861000000.0,-931000000.0,-5753000000.0,-29000000.0,-16332000000.0,-851000000.0,-8398000000.0,-17924000000.0,-5592000000.0
2017-03-31,15099000000.0,1525000000.0,-1119000000.0,1441000000.0,-10154000000.0,1588000000.0,14506000000.0,21846000000.0,-821000000.0,33941000000.0,15857000000.0,-5301000000.0,-5694000000.0,-144000000.0,2030000000.0,-706000000.0,-7380000000.0,-10156000000.0,-5195000000.0
