,Investments,Change To Liabilities,Total Cashflows From Investing Activities,Net Borrowings,Total Cash From Financing Activities,Change To Operating Activities,Issuance Of Stock,Net Income,Change In Cash,Effect Of Exchange Rate,Total Cash From Operating Activities,Depreciation,Other Cashflows From Investing Activities,Change To Account Receivables,Other Cashflows From Financing Activities,Change To Netincome,Capital Expenditures,Repurchase Of Stock,Dividends Paid
2021-03-31,-496170000000.0,-92269000000.0,-595759000000.0,802118000000.0,1098172000000.0,102081000000.0,296197000000.0,-404624000000.0,234385000000.0,2649000000.0,-270441000000.0,178467000000.0,2706000000.0,-5107000000.0,-143000000.0,-48989000000.0,-134174000000.0,,
2020-03-31,-27815000000.0,-38045000000.0,-230218000000.0,54333000000.0,23869000000.0,-124722000000.0,296197000000.0,27655000000.0,-75901000000.0,-274000000.0,130169000000.0,179745000000.0,-2694000000.0,82312000000.0,-4954000000.0,-20622000000.0,-317604000000.0,-405000000.0,-25105000000.0
2019-03-31,-13320000000.0,3355000000.0,-308671000000.0,-8161000000.0,-46480000000.0,33821000000.0,296197000000.0,110777000000.0,-58671000000.0,332000000.0,296148000000.0,163572000000.0,-4404000000.0,-7195000000.0,-18218000000.0,-51428000000.0,-336807000000.0,-17000000.0,-20084000000.0
2018-03-31,-71050000000.0,37149000000.0,-324494000000.0,69882000000.0,-29989000000.0,-20864000000.0,296197000000.0,143887000000.0,-38549000000.0,-80000000.0,316014000000.0,154439000000.0,-5068000000.0,-14201000000.0,-11198000000.0,-37150000000.0,-265531000000.0,-67652000000.0,-21021000000.0
