,Investments,Change To Liabilities,Total Cashflows From Investing Activities,Total Cash From Financing Activities,Change To Operating Activities,Net Income,Change In Cash,Repurchase Of Stock,Effect Of Exchange Rate,Total Cash From Operating Activities,Depreciation,Other Cashflows From Investing Activities,Dividends Paid,Change To Inventory,Change To Account Receivables,Other Cashflows From Financing Activities,Change To Netincome,Capital Expenditures,Net Borrowings
2020-12-31,1500000000.0,2553000000.0,252559000000.0,-26003000000.0,2667000000.0,47027000000.0,266257000000.0,-14000000.0,199000000.0,39502000000.0,20466000000.0,1155000000.0,-23631000000.0,-6587000000.0,-5654000000.0,-2358000000.0,-26206000000.0,-10115000000.0,
2019-12-31,1500000000.0,2532000000.0,-933000000.0,-47371000000.0,8281000000.0,67084000000.0,4896000000.0,-22601000000.0,-456000000.0,53655000000.0,18797000000.0,101317000000.0,-21688000000.0,-5835000000.0,-642000000.0,-3082000000.0,-5689000000.0,-7030000000.0,
2018-12-31,1500000000.0,1978000000.0,-39929000000.0,-16501000000.0,8281000000.0,54414000000.0,1182000000.0,-22601000000.0,357000000.0,56181000000.0,22221000000.0,-312000000.0,-16148000000.0,-7063000000.0,-3497000000.0,-157000000.0,-30896000000.0,-10522000000.0,-196000000.0
2017-12-31,1500000000.0,-1364000000.0,-45265000000.0,-18287000000.0,-5163000000.0,42899000000.0,1609000000.0,-22601000000.0,1334000000.0,64902000000.0,22032000000.0,7035000000.0,-13682000000.0,2109000000.0,1399000000.0,-436000000.0,-9960000000.0,-14765000000.0,-4169000000.0
