,Net Income,Change To Liabilities,Total Cashflows From Investing Activities,Net Borrowings,Total Cash From Financing Activities,Change To Operating Activities,Issuance Of Stock,Change In Cash,Repurchase Of Stock,Effect Of Exchange Rate,Total Cash From Operating Activities,Depreciation,Other Cashflows From Investing Activities,Dividends Paid,Change To Inventory,Change To Account Receivables,Other Cashflows From Financing Activities,Change To Netincome,Capital Expenditures
2021-03-31,32167000000.0,0.0,,,,,,,,,,,,,,,,,
2020-03-31,-419000000.0,-40556000000.0,-424623000000.0,182529000000.0,157999000000.0,-33315000000.0,100036000000.0,-39787000000.0,-100901000000.0,-16000000.0,226852000000.0,263425000000.0,431000000.0,-18820000000.0,8766000000.0,-7074000000.0,-4845000000.0,-4564000000.0,-425054000000.0
2019-03-31,30970000000.0,-12493000000.0,-364341000000.0,-19891000000.0,-40716000000.0,47085000000.0,100036000000.0,-120602000000.0,-100901000000.0,1426000000.0,283020000000.0,239062000000.0,13067000000.0,-15300000000.0,-20508000000.0,-12546000000.0,-5525000000.0,-9856000000.0,-377408000000.0
2018-03-31,86657000000.0,22983000000.0,-321751000000.0,-69305000000.0,-90334000000.0,81828000000.0,100036000000.0,-53955000000.0,-100901000000.0,2134000000.0,355995000000.0,211275000000.0,31012000000.0,-17065000000.0,-5693000000.0,-25108000000.0,-3964000000.0,-2848000000.0,-352763000000.0
