,Investments,Change To Liabilities,Total Cashflows From Investing Activities,Net Borrowings,Total Cash From Financing Activities,Change To Operating Activities,Net Income,Change In Cash,Repurchase Of Stock,Total Cash From Operating Activities,Depreciation,Other Cashflows From Investing Activities,Dividends Paid,Change To Inventory,Change To Account Receivables,Other Cashflows From Financing Activities,Change To Netincome,Capital Expenditures,Issuance Of Stock,Effect Of Exchange Rate
2020-03-31,-639000000.0,-1431000000.0,-18815000000.0,-8430000000.0,-12959000000.0,317000000.0,10922000000.0,529000000.0,-24000000.0,32305000000.0,18283000000.0,-67000000.0,-4435000000.0,1173000000.0,1690000000.0,-70000000.0,-3230000000.0,-18433000000.0,,
2019-03-31,326000000.0,-514000000.0,-20032000000.0,-706000000.0,-15755000000.0,-1209000000.0,7799000000.0,-6801000000.0,-10652000000.0,29252000000.0,18546000000.0,60000000.0,-4353000000.0,157000000.0,2524000000.0,-46000000.0,-2262000000.0,-20563000000.0,2000000.0,-265000000.0
2018-03-31,176000000.0,1009000000.0,-24753000000.0,-2256000000.0,-6626000000.0,601000000.0,14659000000.0,-4601000000.0,-40000000.0,26470000000.0,17661000000.0,-50000000.0,-4261000000.0,-2467000000.0,-3748000000.0,-69000000.0,-6319000000.0,-25585000000.0,2000000.0,246000000.0
2017-03-31,1406000000.0,2723000000.0,-17700000000.0,-12374000000.0,-16123000000.0,191000000.0,16210000000.0,-4705000000.0,-29000000.0,29231000000.0,17047000000.0,54000000.0,-3653000000.0,-1075000000.0,-3040000000.0,-67000000.0,-9460000000.0,-20378000000.0,2000000.0,-113000000.0
