,Net Income,Change To Liabilities,Investments,Total Cashflows From Investing Activities,Net Borrowings,Total Cash From Financing Activities,Change To Operating Activities,Change In Cash,Effect Of Exchange Rate,Total Cash From Operating Activities,Depreciation,Other Cashflows From Investing Activities,Dividends Paid,Change To Inventory,Change To Account Receivables,Other Cashflows From Financing Activities,Change To Netincome,Capital Expenditures,Issuance Of Stock
2021-03-31,74342000000.0,0.0,,,,,,,,,,,,,,,,,
2020-03-31,47292000000.0,-1435000000.0,-904000000.0,-61531000000.0,-723000000.0,-24372000000.0,-24469000000.0,-32998000000.0,-684000000.0,53589000000.0,23425000000.0,523000000.0,-14289000000.0,5158000000.0,10000000.0,-9360000000.0,-28540000000.0,-53463000000.0,
2019-03-31,43465000000.0,-5990000000.0,-20000000.0,-66267000000.0,-3401000000.0,-27523000000.0,32992000000.0,-6851000000.0,180000000.0,86758000000.0,21002000000.0,212000000.0,-16185000000.0,6739000000.0,-12866000000.0,-7937000000.0,-29273000000.0,-61872000000.0,
2018-03-31,33363169325.0,24025848156.0,-11076924.0,-32028925746.0,-26200617568.0,-26237540648.0,6284308216.0,34675387505.0,-333230797.0,93276007773.0,17940001495.0,-3289846428.0,-3437538748.0,2715692534.0,-5419385067.0,-6849231340.0,-10472308565.0,-22844309596.0,10249847008.0
