,Investments,Change To Liabilities,Total Cashflows From Investing Activities,Total Cash From Financing Activities,Change To Operating Activities,Net Income,Change In Cash,Repurchase Of Stock,Effect Of Exchange Rate,Total Cash From Operating Activities,Depreciation,Other Cashflows From Investing Activities,Dividends Paid,Other Cashflows From Financing Activities,Change To Netincome,Capital Expenditures,Net Borrowings,Issuance Of Stock
2020-03-31,57990000000.0,0.0,58034000000.0,315617000000.0,-204814000000.0,20222000000.0,239619000000.0,-2005000000.0,6000000.0,-134038000000.0,5975000000.0,-501000000.0,-4567000000.0,322189000000.0,35871000000.0,-3425000000.0,,
2019-03-31,172585000000.0,0.0,165519000000.0,146148000000.0,91376000000.0,22899000000.0,397551000000.0,-2509000000.0,10000000.0,85873000000.0,5952000000.0,-2020000000.0,-4635000000.0,163292000000.0,-45486000000.0,-3452000000.0,-10000000000.0,
2018-03-31,110597000000.0,0.0,98535000000.0,292338000000.0,-92450000000.0,21467000000.0,269407000000.0,-1916000000.0,-12000000.0,-121453000000.0,7144000000.0,-1999000000.0,-4678000000.0,308932000000.0,-68296000000.0,-10071000000.0,-10000000000.0,
2017-03-31,158773000000.0,0.0,146717000000.0,230475000000.0,-214036000000.0,22214000000.0,188486000000.0,-1022000000.0,-5000000.0,-188700000000.0,6804000000.0,1152000000.0,-4697000000.0,254990000000.0,-14304000000.0,-11879000000.0,-18800000000.0,4000000.0
