,Investments,Change To Liabilities,Total Cashflows From Investing Activities,Total Cash From Financing Activities,Change To Operating Activities,Net Income,Change In Cash,Total Cash From Operating Activities,Depreciation,Other Cashflows From Investing Activities,Dividends Paid,Change To Inventory,Change To Account Receivables,Change To Netincome,Capital Expenditures,Other Cashflows From Financing Activities
2021-03-31,-5234000000.0,-184000000.0,-5422000000.0,-15121000000.0,3242000000.0,38001000000.0,21133000000.0,41677000000.0,2240000000.0,79000000.0,-15121000000.0,-34000000.0,-924000000.0,-664000000.0,-1085000000.0,
2020-03-31,199000000.0,-321000000.0,-9238000000.0,-13120000000.0,-1603000000.0,35096000000.0,9640000000.0,31999000000.0,907000000.0,3089000000.0,-13120000000.0,91000000.0,-484000000.0,-14496000000.0,-12490000000.0,
2019-03-31,29000000.0,494000000.0,-8209000000.0,-11119000000.0,-1467000000.0,32223000000.0,10514000000.0,29843000000.0,599000000.0,2298000000.0,-11118000000.0,77000000.0,-830000000.0,-13015000000.0,-10509000000.0,-1000000.0
2018-03-31,26000000.0,-120000000.0,-6320000000.0,-8450000000.0,-468000000.0,26268000000.0,11336000000.0,26107000000.0,504000000.0,714000000.0,-8450000000.0,201000000.0,724000000.0,-11059000000.0,-7002000000.0,-1000000.0
