,Investments,Change To Liabilities,Total Cashflows From Investing Activities,Net Borrowings,Total Cash From Financing Activities,Change To Operating Activities,Net Income,Change In Cash,Effect Of Exchange Rate,Total Cash From Operating Activities,Depreciation,Other Cashflows From Investing Activities,Dividends Paid,Change To Inventory,Change To Account Receivables,Other Cashflows From Financing Activities,Change To Netincome,Capital Expenditures,Repurchase Of Stock
2020-12-31,4434000000.0,-7390000000.0,-19759000000.0,3301000000.0,-7739000000.0,-1788000000.0,15252000000.0,20238000000.0,-124000000.0,47861000000.0,24931000000.0,978000000.0,-9660000000.0,20208000000.0,-5442000000.0,-1380000000.0,-2554000000.0,-25171000000.0,
2019-12-31,125000000.0,-3513000000.0,-14316000000.0,-11230000000.0,-21976000000.0,-4376000000.0,-33669000000.0,-15271000000.0,-616000000.0,21637000000.0,28576000000.0,-278000000.0,-9661000000.0,-14209000000.0,3073000000.0,-1085000000.0,31354000000.0,-13962000000.0,
2018-12-31,6140000000.0,2970000000.0,-19551000000.0,-8227000000.0,-28503000000.0,-3278000000.0,15199000000.0,2413000000.0,-1534000000.0,52002000000.0,29775000000.0,-215000000.0,-9942000000.0,70000000.0,2693000000.0,-333000000.0,-5656000000.0,-25476000000.0,-10001000000.0
2017-12-31,5619000000.0,1327000000.0,-68644000000.0,18610000000.0,9797000000.0,-2247000000.0,27184000000.0,-12331000000.0,355000000.0,46159000000.0,28734000000.0,-2000000.0,-7958000000.0,-2181000000.0,-6176000000.0,-855000000.0,-5930000000.0,-16516000000.0,-10001000000.0
