,Change To Liabilities,Total Cashflows From Investing Activities,Net Borrowings,Total Cash From Financing Activities,Change To Operating Activities,Net Income,Change In Cash,Effect Of Exchange Rate,Total Cash From Operating Activities,Depreciation,Other Cashflows From Investing Activities,Dividends Paid,Change To Inventory,Change To Account Receivables,Other Cashflows From Financing Activities,Change To Netincome,Capital Expenditures,Investments
2020-03-31,-10359000000.0,-29684000000.0,-6975000000.0,-15745000000.0,11104000000.0,7476000000.0,2951000000.0,-296000000.0,48676000000.0,19138000000.0,-103000000.0,-5586000000.0,4873000000.0,18854000000.0,-3184000000.0,-7409000000.0,-28269000000.0,
2019-03-31,-3721000000.0,-22777000000.0,-633000000.0,-8904000000.0,-4237000000.0,20560000000.0,2828000000.0,-135000000.0,34644000000.0,17516000000.0,-594000000.0,-4971000000.0,-4186000000.0,3812000000.0,-3300000000.0,-5652000000.0,-22262000000.0,
2018-03-31,10594000000.0,-14948000000.0,-10056000000.0,-17040000000.0,1818000000.0,18012000000.0,-5769000000.0,293000000.0,25868000000.0,17126000000.0,-465000000.0,-5578000000.0,-7075000000.0,-18327000000.0,-1406000000.0,-5022000000.0,-19395000000.0,4096000000.0
2017-03-31,-478000000.0,-11887000000.0,-17411000000.0,-24432000000.0,1105000000.0,19520000000.0,-199000000.0,-368000000.0,36488000000.0,16602000000.0,-294000000.0,-4912000000.0,476000000.0,-1066000000.0,-2109000000.0,-8441000000.0,-17039000000.0,3330000000.0
